"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"164","Rauwolfia serpentina","Rauwolfia","","serpentina",NA,NA,"","","kew-176968",TRUE,"1.1","Accepted","Apocynaceae","Rauvolfia","","serpentina","","","(L.) Benth. ex Kurz","kew-176968","Accepted",TRUE,FALSE,FALSE,2023-06-14
"165","Phaseolus vulgaris var. nanus","Phaseolus","","vulgaris",NA,"var.","nanus","","ild-2934",FALSE,"1.1","Accepted","Leguminosae","Phaseolus","","vulgaris","","","L.","ild-2934","Accepted",FALSE,FALSE,TRUE,2023-06-14
"166","Strophostyles helvula","Strophostyles","","helvula",NA,NA,"","","ild-24621",TRUE,"1.1","Accepted","Leguminosae","Strophostyles","","helvula","","","(L.) Elliott","ild-24621","Accepted",FALSE,FALSE,FALSE,2023-06-14
"167","Elodea virginica","Elodea","","virginica",NA,NA,"","","kew-2787746",TRUE,"1.1","Synonym","Hypericaceae","Triadenum","","virginicum","","","(L.) Raf.","kew-2442393","Accepted",FALSE,FALSE,FALSE,2023-06-14
"168","Securinega fluggeoides","Securinega","","fluggeoides",NA,NA,"","","kew-190334",TRUE,"1.1","Synonym","Phyllanthaceae","Flueggea","","suffruticosa","","","(Pall.) Baill.","kew-84615","Accepted",FALSE,FALSE,FALSE,2023-06-14
"169","Lysichiton americanum","Lysichiton","","americanum",NA,NA,"","","kew-116108",TRUE,"1.1","Accepted","Araceae","Lysichiton","","americanus","","","Hultén & H.St.John","kew-116108","Accepted",TRUE,FALSE,FALSE,2023-06-14
"170","Gnaphalium silvaticum","Gnaphalium","","silvaticum",NA,NA,"","","gcc-118271",TRUE,"1.1","Accepted","Compositae","Gnaphalium","","sylvaticum","","","L.","gcc-118271","Accepted",TRUE,FALSE,FALSE,2023-06-14
"171","Hibiscus syriaca","Hibiscus","","syriaca",NA,NA,"","","kew-2850597",TRUE,"1.1","Accepted","Malvaceae","Hibiscus","","syriacus","","","L.","kew-2850597","Accepted",TRUE,FALSE,FALSE,2023-06-14
"172","Cerastium brachypodium","Cerastium","","brachypodium",NA,NA,"","","kew-2710097",TRUE,"1.1","Accepted","Caryophyllaceae","Cerastium","","brachypodum","","","(Engelm. ex A.Gray) B.L.Rob. ex Britton","kew-2710097","Accepted",TRUE,FALSE,FALSE,2023-06-14
"173","Floerkia occidentalis","Floerkia","","occidentalis",NA,NA,"","","kew-2813527",TRUE,"1.1","Synonym","Limnanthaceae","Floerkea","","proserpinacoides","","","Willd.","kew-2813529","Accepted",TRUE,FALSE,FALSE,2023-06-14
"174","Glycina sojae","Glycina","","sojae",NA,NA,"","","ild-8834",TRUE,"1.1","Synonym","Leguminosae","Glycine","","max","subsp.","soja","(Siebold & Zucc.) H.Ohashi","ild-38923","Accepted",TRUE,FALSE,FALSE,2023-06-14
"175","Lysiloma candida","Lysiloma","","candida",NA,NA,"","","ild-33621",TRUE,"1.1","Accepted","Leguminosae","Lysiloma","","candida","","","Brandegee","ild-33621","Accepted",FALSE,FALSE,FALSE,2023-06-14
"176","Dasyphora fruticosa","Dasyphora","","fruticosa",NA,NA,"","","rjp-3465",TRUE,"1.1","Unresolved","Rosaceae","Dasiphora","","fruticosa","","","auct.","rjp-3465","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"177","Rosae alpinae","Rosae","","alpinae",NA,NA,"","","rjp-11225",TRUE,"1.1","Synonym","Rosaceae","Rosa","","pendulina","","","L.","rjp-8976","Accepted",TRUE,FALSE,FALSE,2023-06-14
"178","Rosa engelmanni","Rosa","","engelmanni",NA,NA,"","","rjp-6081",TRUE,"1.1","Synonym","Rosaceae","Rosa","","acicularis","subsp.","sayi","(Schwein.) W.H.Lewis","rjp-6015","Accepted",TRUE,FALSE,FALSE,2023-06-14
"179","Rosca manca","Rosca","","manca",NA,NA,"","","rjp-59059",TRUE,"1.1","Synonym","Rosaceae","Rosa","","nutkana","subsp.","melina","(Greene) W.H.Lewis & Ertter","rjp-59053","Accepted",TRUE,FALSE,FALSE,2023-06-14
"180","Rosae blandae","Rosae","","blandae",NA,NA,"","","rjp-3949",TRUE,"1.1","Accepted","Rosaceae","Rosa","","blanda","","","Aiton","rjp-3949","Accepted",TRUE,FALSE,FALSE,2023-06-14
"181","Rubus parviflorum","Rubus","","parviflorum",NA,NA,"","","rjp-691",TRUE,"1.1","Accepted","Rosaceae","Rubus","","parviflorus","","","Nutt.","rjp-691","Accepted",TRUE,FALSE,FALSE,2023-06-14
"182","Rubus fruticosus caesius","Rubus","","fruticosus",NA,NA,"caesius","","rjp-49755",TRUE,"1.1","Synonym","Rosaceae","Rubus","","caesius","","","L.","rjp-8","Accepted",FALSE,FALSE,FALSE,2023-06-14
"183","Evodiae hupehensis","Evodiae","","hupehensis",NA,NA,"","","kew-2805765",TRUE,"1.1","Synonym","Rutaceae","Tetradium","","daniellii","","","(Benn.) T.G.Hartley","kew-2514724","Accepted",TRUE,FALSE,FALSE,2023-06-14
"184","Maclura aurantica","Maclura","","aurantica",NA,NA,"","","kew-2501651",TRUE,"1.1","Synonym","Moraceae","Maclura","","pomifera","","","(Raf.) C.K.Schneid.","kew-2501306","Accepted",TRUE,FALSE,FALSE,2023-06-14
"185","Melilotus laxa","Melilotus","","laxa",NA,NA,"","","kew-2367210",TRUE,"1.1","Unresolved","Leguminosae","Melilotus","","laxus","","","Steven ex Trautv.","kew-2367210","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"186","Steironema ciliata","Steironema","","ciliata",NA,NA,"","","kew-2600654",TRUE,"1.1","Synonym","Primulaceae","Lysimachia","","ciliata","","","L.","kew-2493122","Accepted",TRUE,FALSE,FALSE,2023-06-14
"187","Poae pratensis","Poae","","pratensis",NA,NA,"","","kew-436906",TRUE,"1.1","Accepted","Poaceae","Poa","","pratensis","","","L.","kew-436906","Accepted",TRUE,FALSE,FALSE,2023-06-14
"188","Oreobroma pygmaea","Oreobroma","","pygmaea",NA,NA,"","","tro-50203769",TRUE,"1.1","Synonym","Montiaceae","Lewisia","","pygmaea","","","(A. Gray) B.L. Rob.","tro-26200122","Accepted",TRUE,FALSE,FALSE,2023-06-14
"189","Spraguea umbellatum","Spraguea","","umbellatum",NA,NA,"","","kew-2599187",TRUE,"1.1","Synonym","Portulacaceae","Cistanthe","","umbellata","","","(Torr.) Hershkovitz","kew-2723235","Accepted",TRUE,FALSE,FALSE,2023-06-14
"190","Alisma plantago graminifolium","Alisma","","plantago",NA,NA,"graminifolium","","tro-900126",FALSE,"1.1","Unresolved","Alismataceae","Alisma","","plantago","","","R. Br.","tro-900126","Unresolved",FALSE,FALSE,TRUE,2023-06-14
"191","Alisma plantago lanceolata","Alisma","","plantago",NA,NA,"lanceolata","","tro-900126",FALSE,"1.1","Unresolved","Alismataceae","Alisma","","plantago","","","R. Br.","tro-900126","Unresolved",FALSE,FALSE,TRUE,2023-06-14
"192","Agave desertii","Agave","","desertii",NA,NA,"","","kew-293754",TRUE,"1.1","Accepted","Asparagaceae","Agave","","deserti","","","Engelm.","kew-293754","Accepted",TRUE,FALSE,FALSE,2023-06-14
"193","Borassus aethiopium","Borassus","","aethiopium",NA,NA,"","","kew-23000",TRUE,"1.1","Accepted","Arecaceae","Borassus","","aethiopum","","","Mart.","kew-23000","Accepted",TRUE,FALSE,FALSE,2023-06-14
"194","Anthriscus nitidus","Anthriscus","","nitidus",NA,NA,"","","kew-2641844",TRUE,"1.1","Accepted","Apiaceae","Anthriscus","","nitida","","","(Wahlenb.) Garcke","kew-2641844","Accepted",TRUE,FALSE,FALSE,2023-06-14
"195","Poa cookei","Poa","","cookei",NA,NA,"","","kew-435653",TRUE,"1.1","Accepted","Poaceae","Poa","","cookii","","","(Hook.f.) Hook.f.","kew-435653","Accepted",TRUE,FALSE,FALSE,2023-06-14
"196","Fague americanus","Fague","","americanus",NA,NA,"","","kew-83778",TRUE,"1.1","Synonym","Fagaceae","Fagus","","grandifolia","","","Ehrh.","kew-83824","Accepted",TRUE,FALSE,FALSE,2023-06-14
"197","Prunus padus petraea","Prunus","","padus",NA,NA,"petraea","","rjp-10538",TRUE,"1.1","Synonym","Rosaceae","Prunus","","padus","subsp.","borealis","(Schübeler ) Cajander","rjp-10536","Accepted",FALSE,FALSE,FALSE,2023-06-14
"198","Bromus kalmii gray","Bromus","","kalmii",NA,NA,"gray","","kew-401297",FALSE,"1.1","Accepted","Poaceae","Bromus","","kalmii","","","A.Gray","kew-401297","Accepted",FALSE,FALSE,TRUE,2023-06-14
"199","Coix lachryma-jobi","Coix","","lachryma-jobi",NA,NA,"","","kew-405633",TRUE,"1.1","Accepted","Poaceae","Coix","","lacryma-jobi","","","L.","kew-405633","Accepted",TRUE,FALSE,FALSE,2023-06-14
"200","Achyrocline satureioides vargasiana","Achyrocline","","satureioides",NA,NA,"vargasiana","","gcc-60551",TRUE,"1.1","Synonym","Compositae","Achyrocline","","satureioides","","","(Lam.) DC.","gcc-13716","Accepted",FALSE,FALSE,FALSE,2023-06-14
"201","Veronica alpina var. unalaschensis","Veronica","","alpina",NA,"var.","unalaschensis","","kew-2453888",FALSE,"1.1","Accepted","Plantaginaceae","Veronica","","alpina","","","L.","kew-2453888","Accepted",FALSE,FALSE,TRUE,2023-06-14
"202","Pentstemon acuminatus","Pentstemon","","acuminatus",NA,NA,"","","tro-29201235",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","acuminatus","","","Douglas ex Lindl.","tro-29201235","Accepted",TRUE,FALSE,FALSE,2023-06-14
"203","Pentstemon alpinus","Pentstemon","","alpinus",NA,NA,"","","tro-29201241",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","alpinus","","","Torr.","tro-29201241","Accepted",TRUE,FALSE,FALSE,2023-06-14
"204","Pentstemon humilis","Pentstemon","","humilis",NA,NA,"","","tro-29201371",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","humilis","","","Nutt. ex A. Gray","tro-29201371","Accepted",TRUE,FALSE,FALSE,2023-06-14
"205","Pentstemon unilateralis","Pentstemon","","unilateralis",NA,NA,"","","tro-29201515",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","unilateralis","","","Rydb.","tro-29201515","Accepted",TRUE,FALSE,FALSE,2023-06-14
"206","Scirpus congdoni","Scirpus","","congdoni",NA,NA,"","","kew-263964",TRUE,"1.1","Accepted","Cyperaceae","Scirpus","","congdonii","","","Britton","kew-263964","Accepted",TRUE,FALSE,FALSE,2023-06-14
"207","Impatiens textori","Impatiens","","textori",NA,NA,"","","kew-2863276",TRUE,"1.1","Accepted","Balsaminaceae","Impatiens","","textori","","","Miq.","kew-2863276","Accepted",FALSE,FALSE,FALSE,2023-06-14
"208","Zygadenus chloranthus","Zygadenus","","chloranthus",NA,NA,"","","kew-291883",TRUE,"1.1","Synonym","Melanthiaceae","Anticlea","","elegans","","","(Pursh) Rydb.","kew-299838","Accepted",TRUE,FALSE,FALSE,2023-06-14
"209","Baccharis serraefolia","Baccharis","","serraefolia",NA,NA,"","","gcc-105240",TRUE,"1.1","Accepted","Compositae","Baccharis","","serraefolia","","","DC.","gcc-105240","Accepted",FALSE,FALSE,FALSE,2023-06-14
"210","Balsamorrhiza macrophylla","Balsamorrhiza","","macrophylla",NA,NA,"","","gcc-85975",TRUE,"1.1","Accepted","Compositae","Balsamorhiza","","macrophylla","","","Nutt.","gcc-85975","Accepted",TRUE,FALSE,FALSE,2023-06-14
"211","Polygonum chinensis","Polygonum","","chinensis",NA,NA,"","","tro-26000173",TRUE,"1.1","Synonym","Polygonaceae","Persicaria","","chinensis","","","(L.) H. Gross","tro-50133756","Accepted",TRUE,FALSE,FALSE,2023-06-14
"212","Viguiera buddleiaeformis","Viguiera","","buddleiaeformis",NA,NA,"","","gcc-91673",TRUE,"1.1","Accepted","Compositae","Viguiera","","buddleiaeformis","","","(DC.) Benth. & Hook.f. ex Hemsl.","gcc-91673","Accepted",FALSE,FALSE,FALSE,2023-06-14
"213","Viguiera buddleiiformis","Viguiera","","buddleiiformis",NA,NA,"","","tro-50159779",TRUE,"1.1","Accepted","Compositae","Viguiera","","buddlejiformis","","","(DC.) Benth. & Hook. f. ex Hemsl.","tro-50159779","Accepted",TRUE,FALSE,FALSE,2023-06-14
"214","Calea axillaris urticaefolia","Calea","","axillaris",NA,NA,"urticaefolia","","gcc-116490",TRUE,"1.1","Synonym","Compositae","Calea","","urticifolia","","","(Mill.) DC.","gcc-6425","Accepted",FALSE,FALSE,TRUE,2023-06-14
"215","Ribe inerme","Ribe","","inerme",NA,NA,"","","tro-29100505",TRUE,"1.1","Accepted","Grossulariaceae","Ribes","","inerme","","","Rydb.","tro-29100505","Accepted",TRUE,FALSE,FALSE,2023-06-14
"216","Cicuta curtisii","Cicuta","","curtisii",NA,NA,"","","tro-1702165",TRUE,"1.1","Accepted","Apiaceae","Cicuta","","curtissii","","","J.M. Coult. & Rose","tro-1702165","Accepted",TRUE,FALSE,FALSE,2023-06-14
"217","Petasites frigida","Petasites","","frigida",NA,NA,"","","gcc-87800",TRUE,"1.1","Accepted","Compositae","Petasites","","frigidus","","","(L.) Fr.","gcc-87800","Accepted",TRUE,FALSE,FALSE,2023-06-14
"218","Cryptanthe torreyi","Cryptanthe","","torreyi",NA,NA,"","","kew-2745773",TRUE,"1.1","Synonym","Boraginaceae","Cryptantha","","torreyana","","","(A.Gray) Greene","kew-2745761","Accepted",TRUE,FALSE,FALSE,2023-06-14
"219","Erigeron strigosum","Erigeron","","strigosum",NA,NA,"","","gcc-139285",TRUE,"1.1","Synonym","Compositae","Stenactis","","strigosa","","","(Muhl. ex Willd.) DC.","gcc-22069","Accepted",FALSE,FALSE,FALSE,2023-06-14
"220","Viola langsdorfii","Viola","","langsdorfii",NA,NA,"","","tro-33800676",TRUE,"1.1","Accepted","Violaceae","Viola","","langsdorffii","","","Fisch. ex Ging.","tro-33800676","Accepted",TRUE,FALSE,FALSE,2023-06-14
"221","Anemone nemerosa","Anemone","","nemerosa",NA,NA,"","","kew-2638482",TRUE,"1.1","Accepted","Ranunculaceae","Anemone","","nemorosa","","","L.","kew-2638482","Accepted",TRUE,FALSE,FALSE,2023-06-14
