"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"248","Dodecatheon hendersonii gray","Dodecatheon","","hendersonii",NA,NA,"gray","","kew-2773693",TRUE,"1.1","Synonym","Primulaceae","Dodecatheon","","clevelandii","subsp.","sanctarum","(Greene) Abrams","kew-2773654","Accepted",TRUE,FALSE,FALSE,2023-06-14
"249","Glycosma occidentale","Glycosma","","occidentale",NA,NA,"","","kew-2827534",TRUE,"1.1","Unresolved","Apiaceae","Glycosma","","occidentale","","","Nutt.","kew-2827534","Unresolved",FALSE,FALSE,FALSE,2023-06-14
"250","Pentstemon newberryi","Pentstemon","","newberryi",NA,NA,"","","tro-29201422",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","newberryi","","","A. Gray","tro-29201422","Accepted",TRUE,FALSE,FALSE,2023-06-14
"251","Saxifraga lingulata var. lantoscana","Saxifraga","","lingulata",NA,"var.","lantoscana","","kew-2583207",FALSE,"1.1","Synonym","Saxifragaceae","Saxifraga","","callosa","","","Sm.","kew-2584874","Accepted",FALSE,FALSE,TRUE,2023-06-14
"252","Strobilanthes dalhousianus","Strobilanthes","","dalhousianus",NA,NA,"","","tro-101683",TRUE,"1.1","Accepted","Acanthaceae","Strobilanthes","","dalhousieanus","","","(Nees) C.B. Clarke","tro-101683","Accepted",TRUE,FALSE,FALSE,2023-06-14
"253","Baccharis cassinaefolia","Baccharis","","cassinaefolia",NA,NA,"","","gcc-8810",TRUE,"1.1","Unresolved","Compositae","Baccharis","","crassinaefolia","","","DC.","gcc-8810","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"254","Brickellia veronicaefolia","Brickellia","","veronicaefolia",NA,NA,"","","gcc-149324",TRUE,"1.1","Accepted","Compositae","Brickellia","","veronicaefolia","","","(Kunth) A.Gray","gcc-149324","Accepted",FALSE,FALSE,FALSE,2023-06-14
"255","Echinops blancheanus","Echinops","","blancheanus",NA,NA,"","","gcc-22985",TRUE,"1.1","Synonym","Compositae","Echinops","","polyceras","","","Boiss.","gcc-34304","Accepted",TRUE,FALSE,FALSE,2023-06-14
"256","Ribes spicatum var. lapponicum","Ribes","","spicatum",NA,"var.","lapponicum","","kew-2872054",TRUE,"1.1","Accepted","Grossulariaceae","Ribes","","spicatum","subsp.","lapponicum","Hyl.","kew-2872054","Accepted",FALSE,FALSE,FALSE,2023-06-14
"257","Vernonia barbanoides","Vernonia","","barbanoides",NA,NA,"","","gcc-123547",TRUE,"1.1","Synonym","Compositae","Lessingianthus","","bardanoides","","","(Less.) H.Rob.","gcc-138200","Accepted",TRUE,FALSE,FALSE,2023-06-14
"258","Paspalum regnelli","Paspalum","","regnelli",NA,NA,"","","kew-432205",TRUE,"1.1","Accepted","Poaceae","Paspalum","","regnellii","","","Mez","kew-432205","Accepted",TRUE,FALSE,FALSE,2023-06-14
"259","Symphoricarpus racemosus albus","Symphoricarpus","","racemosus",NA,NA,"albus","","tro-50069831",FALSE,"1.1","Synonym","Caprifoliaceae","Symphoria","","racemosa","","","(Michx.) Pursh","tro-50089853","Accepted",TRUE,FALSE,TRUE,2023-06-14
"260","Tithonia longeradiata","Tithonia","","longeradiata",NA,NA,"","","gcc-21859",TRUE,"1.1","Accepted","Compositae","Tithonia","","longiradiata","","","(Bertol.) S.F.Blake","gcc-21859","Accepted",TRUE,FALSE,FALSE,2023-06-14
"261","Saurauja pauciserrata","Saurauja","","pauciserrata",NA,NA,"","","kew-2594497",TRUE,"1.1","Synonym","Actinidiaceae","Saurauia","","kegeliana","","","Schltdl.","kew-2595234","Accepted",TRUE,FALSE,FALSE,2023-06-14
"262","Veronica wormskioldii","Veronica","","wormskioldii",NA,NA,"","","tro-29201586",TRUE,"1.1","Accepted","Plantaginaceae","Veronica","","wormskjoldii","","","Roem. & Schult.","tro-29201586","Accepted",TRUE,FALSE,FALSE,2023-06-14
"263","Myosotis scorpiodes","Myosotis","","scorpiodes",NA,NA,"","","kew-2358330",TRUE,"1.1","Accepted","Boraginaceae","Myosotis","","scorpioides","","","L.","kew-2358330","Accepted",TRUE,FALSE,FALSE,2023-06-14
"264","Chimophila umbellata","Chimophila","","umbellata",NA,NA,"","","kew-2718281",TRUE,"1.1","Accepted","Ericaceae","Chimaphila","","umbellata","","","(L.) Nutt.","kew-2718281","Accepted",TRUE,FALSE,FALSE,2023-06-14
"265","Pirola minor","Pirola","","minor",NA,NA,"","","kew-2410543",TRUE,"1.1","Accepted","Ericaceae","Pyrola","","minor","","","L.","kew-2410543","Accepted",TRUE,FALSE,FALSE,2023-06-14
"266","Brickellia brandegei","Brickellia","","brandegei",NA,NA,"","","gcc-50211",TRUE,"1.1","Accepted","Compositae","Brickellia","","brandegei","","","B.L.Rob.","gcc-50211","Accepted",FALSE,FALSE,FALSE,2023-06-14
"267","Viola nuttallii var. linguaefolia","Viola","","nuttallii",NA,"var.","linguaefolia","","tro-33800029",FALSE,"1.1","Accepted","Violaceae","Viola","","nuttallii","","","Pursh","tro-33800029","Accepted",FALSE,FALSE,TRUE,2023-06-14
"268","Aruncus silvester","Aruncus","","silvester",NA,NA,"","","rjp-13034",TRUE,"1.1","Synonym","Rosaceae","Aruncus","","dioicus","","","(Walter) Fernald","rjp-891","Accepted",FALSE,FALSE,FALSE,2023-06-14
"269","Prosopsis juliflora","Prosopsis","","juliflora",NA,NA,"","","ild-18491",TRUE,"1.1","Accepted","Leguminosae","Prosopis","","juliflora","","","(Sw.) DC.","ild-18491","Accepted",TRUE,FALSE,FALSE,2023-06-14
"270","Pithecolobium sophorocarpum","Pithecolobium","","sophorocarpum",NA,NA,"","","ild-41597",TRUE,"1.1","Synonym","Leguminosae","Cojoba","","arborea","var.","angustifolia","(Rusby) Barneby & J.W.Grimes","ild-40612","Accepted",FALSE,FALSE,FALSE,2023-06-14
"271","Acacia gregii","Acacia","","gregii",NA,NA,"","","ild-10249",TRUE,"1.1","Accepted","Leguminosae","Acacia","","greggii","","","A.Gray","ild-10249","Accepted",TRUE,FALSE,FALSE,2023-06-14
"272","Eucalyptus robustus","Eucalyptus","","robustus",NA,NA,"","","kew-73814",TRUE,"1.1","Accepted","Myrtaceae","Eucalyptus","","robusta","","","Sm.","kew-73814","Accepted",TRUE,FALSE,FALSE,2023-06-14
"273","Cotoneaster racemiflora","Cotoneaster","","racemiflora",NA,NA,"","","rjp-7455",TRUE,"1.1","Accepted","Rosaceae","Cotoneaster","","racemiflorus","","","(Desf.) K.Koch","rjp-7455","Accepted",TRUE,FALSE,FALSE,2023-06-14
"274","Magnolia viginiana","Magnolia","","viginiana",NA,NA,"","","kew-117883",TRUE,"1.1","Accepted","Magnoliaceae","Magnolia","","virginiana","","","L.","kew-117883","Accepted",TRUE,FALSE,FALSE,2023-06-14
"275","Cacalia muhlenbergii","Cacalia","","muhlenbergii",NA,NA,"","","gcc-97348",TRUE,"1.1","Synonym","Compositae","Arnoglossum","","reniforme","","","(Hook.) H.Rob.","gcc-6541","Accepted",TRUE,FALSE,FALSE,2023-06-14
"276","Erigeron annum","Erigeron","","annum",NA,NA,"","","gcc-2668",TRUE,"1.1","Accepted","Compositae","Erigeron","","annuus","","","(L.) Pers.","gcc-2668","Accepted",TRUE,FALSE,FALSE,2023-06-14
"277","Calystegiae sepii","Calystegiae","","sepii",NA,NA,"","","tro-8500113",TRUE,"1.1","Accepted","Convolvulaceae","Calystegia","","sepium","","","(L.) R. Br.","tro-8500113","Accepted",TRUE,FALSE,FALSE,2023-06-14
"278","Kitaibelia vitifolia","Kitaibelia","","vitifolia",NA,NA,"","","kew-2333686",TRUE,"1.1","Accepted","Malvaceae","Kitaibelia","","vitifolia","","","Willd.","kew-2333686","Accepted",FALSE,FALSE,FALSE,2023-06-14
"279","Phryma leptostachys","Phryma","","leptostachys",NA,NA,"","","kew-153193",TRUE,"1.1","Accepted","Phrymaceae","Phryma","","leptostachya","","","L.","kew-153193","Accepted",TRUE,FALSE,FALSE,2023-06-14
"280","Pachylophus caespitosus","Pachylophus","","caespitosus",NA,NA,"","","kew-2552894",TRUE,"1.1","Unresolved","Onagraceae","Pachylophus","","caespitosa","","","Raim.","kew-2552894","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"281","Pentstemon gracilis","Pentstemon","","gracilis",NA,NA,"","","kew-2550854",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","gracilis","","","Nutt.","kew-2550854","Accepted",TRUE,FALSE,FALSE,2023-06-14
"282","Pentstemon digitalis","Pentstemon","","digitalis",NA,NA,"","","tro-29200167",TRUE,"1.1","Accepted","Plantaginaceae","Penstemon","","digitalis","","","Nutt. ex Sims","tro-29200167","Accepted",TRUE,FALSE,FALSE,2023-06-14
"283","Persicaria lapathifolium","Persicaria","","lapathifolium",NA,NA,"","","kew-2572508",TRUE,"1.1","Accepted","Polygonaceae","Persicaria","","lapathifolia","","","(L.) Delarbre","kew-2572508","Accepted",TRUE,FALSE,FALSE,2023-06-14
"284","Rudbekia laciniata","Rudbekia","","laciniata",NA,NA,"","","gcc-128218",TRUE,"1.1","Accepted","Compositae","Rudbeckia","","laciniata","","","L.","gcc-128218","Accepted",TRUE,FALSE,FALSE,2023-06-14
"285","Trautvetteria carolinensis","Trautvetteria","","carolinensis",NA,NA,"","","tro-27100859",TRUE,"1.1","Accepted","Ranunculaceae","Trautvetteria","","caroliniensis","","","(Walter) Vail","tro-27100859","Accepted",TRUE,FALSE,FALSE,2023-06-14
"286","Andropogon virginicum","Andropogon","","virginicum",NA,NA,"","","kew-393606",TRUE,"1.1","Accepted","Poaceae","Andropogon","","virginicus","","","L.","kew-393606","Accepted",TRUE,FALSE,FALSE,2023-06-14
"287","Caryae amarae","Caryae","","amarae",NA,NA,"","","kew-2701746",TRUE,"1.1","Synonym","Juglandaceae","Carya","","cordiformis","","","(Wangenh.) K.Koch","kew-2701766","Accepted",TRUE,FALSE,FALSE,2023-06-14
"288","Astragalus glycyphyllus","Astragalus","","glycyphyllus",NA,NA,"","","ild-8631",TRUE,"1.1","Accepted","Leguminosae","Astragalus","","glycyphyllos","","","L.","ild-8631","Accepted",TRUE,FALSE,FALSE,2023-06-14
"289","Andromedae viviae ligustrinae","Andromedae","","viviae",NA,NA,"ligustrinae","","kew-2637150",FALSE,"1.1","Unresolved","Ericaceae","Andromeda","","davisiae","","","C.K.Schneid.","kew-2637150","Unresolved",TRUE,FALSE,TRUE,2023-06-14
"290","Rosae corymbosa","Rosae","","corymbosa",NA,NA,"","","rjp-34467",TRUE,"1.1","Synonym","Rosaceae","Rosa","×","conspicua","","","Boreau","rjp-35588","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"291","Rosae corymbosae","Rosae","","corymbosae",NA,NA,"","","rjp-34467",TRUE,"1.1","Synonym","Rosaceae","Rosa","×","conspicua","","","Boreau","rjp-35588","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"292","Tiliae ramis","Tiliae","","ramis",NA,NA,"","","kew-2517467",TRUE,"1.1","Unresolved","Malvaceae","Tilia","×","ruralis","","","J.Wagner","kew-2517467","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"293","Taraxacum densleonis","Taraxacum","","densleonis",NA,NA,"","","gcc-82973",TRUE,"1.1","Synonym","Compositae","Taraxacum","","campylodes","","","G.E.Haglund","gcc-49669","Accepted",TRUE,FALSE,FALSE,2023-06-14
"294","Senecio grahami","Senecio","","grahami",NA,NA,"","","gcc-138256",TRUE,"1.1","Synonym","Compositae","Roldana","","barba-johannis","","","(DC.) H.Rob. & Brettell","gcc-127405","Accepted",TRUE,FALSE,FALSE,2023-06-14
"295","Petasites speciosa","Petasites","","speciosa",NA,NA,"","","gcc-19901",TRUE,"1.1","Synonym","Compositae","Petasites","","frigidus","var.","palmatus","(Aiton) Cronquist","gcc-59815","Accepted",TRUE,FALSE,FALSE,2023-06-14
"296","Rosae arvensis sarmenta","Rosae","","arvensis",NA,NA,"sarmenta","","rjp-535",FALSE,"1.1","Accepted","Rosaceae","Rosa","","arvensis","","","Huds.","rjp-535","Accepted",TRUE,FALSE,TRUE,2023-06-14
"297","Betulae nanae","Betulae","","nanae",NA,NA,"","","kew-21505",TRUE,"1.1","Accepted","Betulaceae","Betula","","nana","","","L.","kew-21505","Accepted",TRUE,FALSE,FALSE,2023-06-14
"298","Pirola secunda","Pirola","","secunda",NA,NA,"","","kew-2410561",TRUE,"1.1","Synonym","Ericaceae","Orthilia","","secunda","","","(L.) House","kew-2387708","Accepted",TRUE,FALSE,FALSE,2023-06-14
"299","Arctostaphylos alpinus","Arctostaphylos","","alpinus",NA,NA,"","","kew-2647118",TRUE,"1.1","Synonym","Ericaceae","Arctous","","alpina","","","(L.) Nied.","kew-2647463","Accepted",TRUE,FALSE,FALSE,2023-06-14
"300","Arctous japonicus","Arctous","","japonicus",NA,NA,"","","kew-2647467",TRUE,"1.1","Synonym","Ericaceae","Arctous","","alpina","","","(L.) Nied.","kew-2647463","Accepted",TRUE,FALSE,FALSE,2023-06-14
"301","Muehlenbergia cuspidata","Muehlenbergia","","cuspidata",NA,NA,"","","kew-425028",TRUE,"1.1","Accepted","Poaceae","Muhlenbergia","","cuspidata","","","(Torr.) Rydb.","kew-425028","Accepted",TRUE,FALSE,FALSE,2023-06-14
"302","Stpa eminens var. andersonii","Stpa","","eminens",NA,"var.","andersonii","","kew-445006",TRUE,"1.1","Synonym","Poaceae","Nassella","","lepida","","","(Hitchc.) Barkworth","kew-425528","Accepted",TRUE,FALSE,FALSE,2023-06-14
"303","Thalictrum purpurescens","Thalictrum","","purpurescens",NA,NA,"","","kew-2512955",TRUE,"1.1","Unresolved","Ranunculaceae","Thalictrum","","purpurascens","","","Georgi","kew-2512955","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"304","Nymphoides indicum","Nymphoides","","indicum",NA,NA,"","","kew-2385097",TRUE,"1.1","Accepted","Menyanthaceae","Nymphoides","","indica","","","(L.) Kuntze","kew-2385097","Accepted",TRUE,FALSE,FALSE,2023-06-14
"305","Prunus laurocerasus var. schipkaensis","Prunus","","laurocerasus",NA,"var.","schipkaensis","","rjp-714",TRUE,"1.1","Accepted","Rosaceae","Prunus","","laurocerasus","","","L.","rjp-714","Accepted",FALSE,FALSE,TRUE,2023-06-14
"306","Viola saxatilis ssp. macedonica","Viola","","saxatilis",NA,"ssp.","macedonica","","kew-2459747",FALSE,"1.1","Synonym","Violaceae","Viola","","tricolor","subsp.","subalpina","Gaudin","kew-2902079","Accepted",FALSE,FALSE,TRUE,2023-06-14
"307","Acer pseudo-platanus","Acer","","pseudo-platanus",NA,NA,"","","kew-2616276",TRUE,"1.1","Accepted","Sapindaceae","Acer","","pseudoplatanus","","","L.","kew-2616276","Accepted",TRUE,FALSE,FALSE,2023-06-14
"308","Syngramme fraxinea","Syngramme","","fraxinea",NA,NA,"","","tro-26620129",TRUE,"1.1","Synonym","Pteridaceae","Coniogramme","","fraxinea","","","(D. Don) Fée ex Diels","tro-26612622","Accepted",TRUE,FALSE,FALSE,2023-06-14
"309","Rosae albae","Rosae","","albae",NA,NA,"","","rjp-302",TRUE,"1.1","Accepted","Rosaceae","Rosa","","alba","","","L.","rjp-302","Accepted",TRUE,FALSE,FALSE,2023-06-14
"310","Sesbania aegyptica","Sesbania","","aegyptica",NA,NA,"","","ild-2454",TRUE,"1.1","Synonym","Leguminosae","Sesbania","","sesban","","","(L.) Merr.","ild-2453","Accepted",TRUE,FALSE,FALSE,2023-06-14
"311","Cupressus pigmaea","Cupressus","","pigmaea",NA,NA,"","","kew-2748773",TRUE,"1.1","Synonym","Cupressaceae","Cupressus","","goveniana","","","Gordon","kew-2748669","Accepted",FALSE,FALSE,FALSE,2023-06-14
"312","Ingae inicuil","Ingae","","inicuil",NA,NA,"","","tro-13008772",TRUE,"1.1","Accepted","Leguminosae","Inga","","inicuil","","","Schltdl. & Cham. ex G. Don","tro-13008772","Accepted",TRUE,FALSE,FALSE,2023-06-14
"313","Sinocalamus oldhami","Sinocalamus","","oldhami",NA,NA,"","","kew-443090",TRUE,"1.1","Synonym","Poaceae","Bambusa","","oldhamii","","","Munro","kew-398934","Accepted",TRUE,FALSE,FALSE,2023-06-14
"314","Zeugites hartwegi","Zeugites","","hartwegi",NA,NA,"","","kew-450566",TRUE,"1.1","Synonym","Poaceae","Zeugites","","munroanus","","","Hemsl.","kew-450572","Accepted",TRUE,FALSE,FALSE,2023-06-14
"315","Wedelia urticaefolia","Wedelia","","urticaefolia",NA,NA,"","","gcc-311",TRUE,"1.1","Accepted","Compositae","Wedelia","","urticaefolia","","","(Blume) DC. ex Wight","gcc-311","Accepted",FALSE,FALSE,FALSE,2023-06-14
"316","Vigna catjang var. sinensis","Vigna","","catjang",NA,"var.","sinensis","","ild-53432",TRUE,"1.1","Misapplied","Leguminosae","Vigna","","reflexopilosa","","","Hayata","ild-38969","Accepted",FALSE,FALSE,FALSE,2023-06-14
"317","Arisaema triphylla","Arisaema","","triphylla",NA,NA,"","","kew-15737",TRUE,"1.1","Accepted","Araceae","Arisaema","","triphyllum","","","(L.) Schott","kew-15737","Accepted",TRUE,FALSE,FALSE,2023-06-14
"318","Bets cicla","Bets","","cicla",NA,NA,"","","kew-2675556",TRUE,"1.1","Synonym","Amaranthaceae","Beta","","vulgaris","","","L.","kew-2675613","Accepted",TRUE,FALSE,FALSE,2023-06-14
"319","Cicer arientinum","Cicer","","arientinum",NA,NA,"","","ild-32797",TRUE,"1.1","Synonym","Leguminosae","Cicer","","arietinum","","","L.","ild-4318","Accepted",FALSE,FALSE,FALSE,2023-06-14
"320","Erigonum nudum","Erigonum","","nudum",NA,NA,"","","kew-2796341",TRUE,"1.1","Accepted","Polygonaceae","Eriogonum","","nudum","","","Douglas ex Benth.","kew-2796341","Accepted",TRUE,FALSE,FALSE,2023-06-14
"321","Eriogonum simpsoni","Eriogonum","","simpsoni",NA,NA,"","","kew-2796585",TRUE,"1.1","Synonym","Polygonaceae","Eriogonum","","microthecum","var.","simpsonii","(Benth.) Reveal","kew-2796278","Accepted",TRUE,FALSE,FALSE,2023-06-14
"322","Euphorbia vallis-mortuae","Euphorbia","","vallis-mortuae",NA,NA,"","","kew-82684",TRUE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","vallis-mortuae","","","(Millsp.) J.T.Howell","kew-82684","Accepted",FALSE,FALSE,FALSE,2023-06-14
"323","Acalypha humboltiana","Acalypha","","humboltiana",NA,NA,"","","kew-705",TRUE,"1.1","Accepted","Euphorbiaceae","Acalypha","","humboltiana","","","Baill.","kew-705","Accepted",FALSE,FALSE,FALSE,2023-06-14
"324","Desmodium marylandicum","Desmodium","","marylandicum",NA,NA,"","","ild-16777",TRUE,"1.1","Accepted","Leguminosae","Desmodium","","marilandicum","","","Darl.","ild-16777","Accepted",TRUE,FALSE,FALSE,2023-06-14
"325","Lespedeza stuvei var. intermedia","Lespedeza","","stuvei",NA,"var.","intermedia","","ild-13162",TRUE,"1.1","Synonym","Leguminosae","Lespedeza","","intermedia","","","(S.Watson) Britton","ild-10878","Accepted",TRUE,FALSE,FALSE,2023-06-14
"326","Lespedeza dahurica","Lespedeza","","dahurica",NA,NA,"","","ild-53571",TRUE,"1.1","Synonym","Leguminosae","Lespedeza","","davurica","","","(Laxm.) Schindl.","ild-38724","Accepted",FALSE,FALSE,FALSE,2023-06-14
"327","Lupinus sericens","Lupinus","","sericens",NA,NA,"","","ild-20857",TRUE,"1.1","Accepted","Leguminosae","Lupinus","","sericeus","","","Pursh","ild-20857","Accepted",TRUE,FALSE,FALSE,2023-06-14
"328","Carex grayii","Carex","","grayii",NA,NA,"","","kew-227118",TRUE,"1.1","Accepted","Cyperaceae","Carex","","grayi","","","J.Carey","kew-227118","Accepted",TRUE,FALSE,FALSE,2023-06-14
"329","Phaseolus helvula","Phaseolus","","helvula",NA,NA,"","","ild-26873",TRUE,"1.1","Synonym","Leguminosae","Strophostyles","","helvula","","","(L.) Elliott","ild-24621","Accepted",FALSE,FALSE,FALSE,2023-06-14
"330","Polygonum muehlenbergii","Polygonum","","muehlenbergii",NA,NA,"","","tro-50089998",TRUE,"1.1","Synonym","Polygonaceae","Persicaria","","amphibia","","","(L.) Delarbre","kew-2571959","Accepted",TRUE,FALSE,FALSE,2023-06-14
"331","Abultilon texensis","Abultilon","","texensis",NA,NA,"","","kew-2611007",TRUE,"1.1","Synonym","Malvaceae","Abutilon","","fruticosum","","","Guill. & Perr.","kew-2610628","Accepted",TRUE,FALSE,FALSE,2023-06-14
"332","Siam cicutarium","Siam","","cicutarium",NA,NA,"","","kew-2473776",TRUE,"1.1","Unresolved","Apiaceae","Sium","","cicutarium","","","W.H.Baxter","kew-2473776","Unresolved",TRUE,FALSE,FALSE,2023-06-14
"333","Onobrychis caput-gallii","Onobrychis","","caput-gallii",NA,NA,"","","ild-8937",TRUE,"1.1","Accepted","Leguminosae","Onobrychis","","caput-galli","","","(L.) Lam.","ild-8937","Accepted",TRUE,FALSE,FALSE,2023-06-14
"334","Euphorbia esula var. virgata","Euphorbia","","esula",NA,"var.","virgata","","kew-79567",FALSE,"1.1","Accepted","Euphorbiaceae","Euphorbia","","esula","","","L.","kew-79567","Accepted",FALSE,FALSE,TRUE,2023-06-14
"335","Zygadenus speciosus","Zygadenus","","speciosus",NA,NA,"","","kew-291851",TRUE,"1.1","Synonym","Melanthiaceae","Anticlea","","elegans","","","(Pursh) Rydb.","kew-299838","Accepted",TRUE,FALSE,FALSE,2023-06-14
"336","Medicago litoralis","Medicago","","litoralis",NA,NA,"","","ild-8518",TRUE,"1.1","Synonym","Leguminosae","Medicago","","littoralis","","","Loisel.","ild-8515","Accepted",FALSE,FALSE,FALSE,2023-06-14
"337","Amorpha tennesseensis","Amorpha","","tennesseensis",NA,NA,"","","ild-16958",TRUE,"1.1","Synonym","Leguminosae","Amorpha","","fruticosa","","","L.","ild-8577","Accepted",FALSE,FALSE,FALSE,2023-06-14
"338","Bromus uniloides","Bromus","","uniloides",NA,NA,"","","kew-402161",TRUE,"1.1","Synonym","Poaceae","Bromus","","catharticus","","","Vahl","kew-400803","Accepted",TRUE,FALSE,FALSE,2023-06-14
"339","Gageae luteae","Gageae","","luteae",NA,NA,"","","kew-307312",TRUE,"1.1","Accepted","Liliaceae","Gagea","","lutea","","","(L.) Ker Gawl.","kew-307312","Accepted",TRUE,FALSE,FALSE,2023-06-14
"340","Allium stellati","Allium","","stellati",NA,NA,"","","kew-296663",TRUE,"1.1","Accepted","Amaryllidaceae","Allium","","stellatum","","","Nutt. ex Ker Gawl.","kew-296663","Accepted",TRUE,FALSE,FALSE,2023-06-15
"341","Pyrus coronariae","Pyrus","","coronariae",NA,NA,"","","rjp-5798",TRUE,"1.1","Synonym","Rosaceae","Malus","","coronaria","","","(L.) Mill.","rjp-5767","Accepted",TRUE,FALSE,FALSE,2023-06-15
"342","Clerodendrum intermedium","Clerodendrum","","intermedium",NA,NA,"","","kew-42711",TRUE,"1.1","Accepted","Lamiaceae","Clerodendrum","","intermedium","","","Cham.","kew-42711","Accepted",FALSE,FALSE,FALSE,2023-06-15
"343","Clerodendrum paniculatum","Clerodendrum","","paniculatum",NA,NA,"","","kew-42921",TRUE,"1.1","Accepted","Lamiaceae","Clerodendrum","","paniculatum","","","L.","kew-42921","Accepted",FALSE,FALSE,FALSE,2023-06-15
"344","Rhamnus frangulae","Rhamnus","","frangulae",NA,NA,"","","kew-2522983",TRUE,"1.1","Synonym","Rhamnaceae","Frangula","","alnus","","","Mill.","kew-2814031","Accepted",TRUE,FALSE,FALSE,2023-06-15
"345","Delphiniumi robusti","Delphiniumi","","robusti",NA,NA,"","","kew-2760325",TRUE,"1.1","Accepted","Ranunculaceae","Delphinium","","robustum","","","Rydb.","kew-2760325","Accepted",TRUE,FALSE,FALSE,2023-06-15
"346","Abies pectinatae","Abies","","pectinatae",NA,NA,"","","kew-2610020",TRUE,"1.1","Synonym","Pinaceae","Picea","","abies","","","(L.) H.Karst.","kew-2562738","Accepted",TRUE,FALSE,FALSE,2023-06-15
"347","Abies pectinatae","Abies","","pectinatae",NA,NA,"","","kew-2610020",TRUE,"1.1","Synonym","Pinaceae","Picea","","abies","","","(L.) H.Karst.","kew-2562738","Accepted",TRUE,FALSE,FALSE,2023-06-15
"348","Ribes rubri","Ribes","","rubri",NA,NA,"","","kew-2426658",TRUE,"1.1","Accepted","Grossulariaceae","Ribes","","rubrum","","","L.","kew-2426658","Accepted",TRUE,FALSE,FALSE,2023-06-15
"349","Osmorhiza longistylis","Osmorhiza","","longistylis",NA,NA,"","","tro-1700172",TRUE,"1.1","Accepted","Apiaceae","Osmorhiza","","longistylis","","","(Torr.) DC.","tro-1700172","Accepted",FALSE,FALSE,FALSE,2023-06-15
"350","Rhamnus cathartici","Rhamnus","","cathartici",NA,NA,"","","kew-2523018",TRUE,"1.1","Accepted","Rhamnaceae","Rhamnus","","cathartica","","","L.","kew-2523018","Accepted",TRUE,FALSE,FALSE,2023-06-15
"351","Smilax rotundifolia","Smilax","","rotundifolia",NA,NA,"","","kew-288926",TRUE,"1.1","Accepted","Smilacaceae","Smilax","","rotundifolia","","","L.","kew-288926","Accepted",FALSE,FALSE,FALSE,2023-06-15
"352","Smilax rotundifoliae","Smilax","","rotundifoliae",NA,NA,"","","kew-288926",TRUE,"1.1","Accepted","Smilacaceae","Smilax","","rotundifolia","","","L.","kew-288926","Accepted",TRUE,FALSE,FALSE,2023-06-15
"353","Eupatorium ageratoides","Eupatorium","","ageratoides",NA,NA,"","","gcc-33335",TRUE,"1.1","Synonym","Compositae","Ageratum","","altissima","","","(L.) R.M.King & H.Rob.","gcc-152249","Accepted",FALSE,FALSE,FALSE,2023-06-15
"354","Thalictrum anemonoides","Thalictrum","","anemonoides",NA,NA,"","","kew-2516485",TRUE,"1.1","Unresolved","Ranunculaceae","Thalictrum","","anemonoides","","","Michx.","kew-2516485","Unresolved",FALSE,FALSE,FALSE,2023-06-15
"355","Rorippa armoracia","Rorippa","","armoracia",NA,NA,"","","tro-4102303",TRUE,"1.1","Synonym","Brassicaceae","Armoracia","","rusticana","","","P.Gaertn., B.Mey. & Scherb.","kew-2652952","Accepted",FALSE,FALSE,FALSE,2023-06-15
"356","Rorippa obtusa","Rorippa","","obtusa",NA,NA,"","","tro-4102273",TRUE,"1.1","Synonym","Brassicaceae","Rorippa","","teres","","","(Michx.) Stuckey","tro-4102938","Accepted",FALSE,FALSE,FALSE,2023-06-15
"357","Rorippa sessiliflora","Rorippa","","sessiliflora",NA,NA,"","","tro-4101446",TRUE,"1.1","Synonym","Brassicaceae","Rorippa","","palustris","","","(L.) Besser","kew-2417173","Accepted",FALSE,FALSE,FALSE,2023-06-15
"358","Sisymbrium loeselii","Sisymbrium","","loeselii",NA,NA,"","","kew-2474993",TRUE,"1.1","Accepted","Brassicaceae","Sisymbrium","","loeselii","","","L.","kew-2474993","Accepted",FALSE,FALSE,FALSE,2023-06-15
"359","Sisymbrium officinalis","Sisymbrium","","officinalis",NA,NA,"","","kew-2474949",TRUE,"1.1","Accepted","Brassicaceae","Sisymbrium","","officinale","","","(L.) Scop.","kew-2474949","Accepted",TRUE,FALSE,FALSE,2023-06-15
"360","Rorippa sinuata","Rorippa","","sinuata",NA,NA,"","","tro-4101447",TRUE,"1.1","Accepted","Brassicaceae","Rorippa","","sinuata","","","(Nutt.) Hitchc.","tro-4101447","Accepted",FALSE,FALSE,FALSE,2023-06-15
