,X,all.hits.sp.Mycop.entry,all.hits.sp.Mycop.plant,id,institutionCode,collectionCode,occurrenceID,basisOfRecord,scientificName,genus,taxonID,taxonRank,occurrenceRemarks,habitat,associatedOccurrences,associatedTaxa,substrate,recordId,country,db,match.number,match.name,new.ID,namecheck.db,score
1995,147240,147240,Pinus elliotti,3680944,ARIZ,,51c6de63-4dab-44a6-8a53-d19669f40b33,PreservedSpecimen,Postia stiptica,Postia,187838,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:51c6de63-4dab-44a6-8a53-d19669f40b33,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
1996,165596,165596,Pinus elliotti,3583173,ARIZ,,34b4276f-dc17-495a-bd72-e211edfa63d4,PreservedSpecimen,Postia stiptica,Postia,187838,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:34b4276f-dc17-495a-bd72-e211edfa63d4,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
1997,165633,165633,Pinus elliotti,3583139,ARIZ,,a15ca1e5-ff2d-428f-82ca-ae5a0eb65fe6,PreservedSpecimen,Postia stiptica,Postia,187838,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:a15ca1e5-ff2d-428f-82ca-ae5a0eb65fe6,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2005,178835,178835,Pinus elliotti,3521925,ARIZ,,3e648edc-6f7e-4176-93d3-4495c660206d,PreservedSpecimen,Pseudomerulius curtisii,Pseudomerulius,312595,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:3e648edc-6f7e-4176-93d3-4495c660206d,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2023,219477,219477,Pinus elliotti,2330827,ARIZ,,fbfa7129-0089-4cb4-9cc1-2ddcde7943f5,PreservedSpecimen,Pseudotomentella nigra,Pseudotomentella,395350,Species,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:fbfa7129-0089-4cb4-9cc1-2ddcde7943f5,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2589,117551,117551,Pinus elliotti,3806937,ARIZ,,f1d692e5-e57b-4b22-8640-5b57f75e5438,PreservedSpecimen,Schizophyllum commune,Schizophyllum,189058,Species,,NA,NA,host: Pinus elliottii Engelm.,NA,urn:uuid:f1d692e5-e57b-4b22-8640-5b57f75e5438,United States,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2590,117554,117554,Pinus elliotti,3806934,ARIZ,,46c3e0b2-689d-46a6-98e8-604ffa8dba65,PreservedSpecimen,Schizophyllum commune,Schizophyllum,189058,Species,,NA,NA,host: Pinus elliottii Engelm.,NA,urn:uuid:46c3e0b2-689d-46a6-98e8-604ffa8dba65,United States,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2613,83457,83457,Pinus elliotti,4336128,ARIZ,,69da7caa-4d82-4cbb-a0f5-dd89ff94265c,PreservedSpecimen,Scytinostroma,Scytinostroma,10210,Genus,,NA,NA,host: Pinus elliottii Engelm.,NA,urn:uuid:69da7caa-4d82-4cbb-a0f5-dd89ff94265c,United States,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2614,219272,219272,Pinus elliotti,2331032,ARIZ,,09add259-2b63-4983-bab9-3401355cf887,PreservedSpecimen,Scytinostroma,Scytinostroma,10210,Genus,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:09add259-2b63-4983-bab9-3401355cf887,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
2615,219273,219273,Pinus elliotti,2331031,ARIZ,,6615ccf1-612c-4005-84ac-7d63593d56d7,PreservedSpecimen,Scytinostroma,Scytinostroma,10210,Genus,,NA,NA,on Pinus elliottii Engelm.,NA,urn:uuid:6615ccf1-612c-4005-84ac-7d63593d56d7,USA,Mycoportal.db,19,Pinus elliottii Engelm.,kew-2562078,The.plant.list,NA
