,X,all.hits.sp.Mycop.entry,all.hits.sp.Mycop.plant,id,institutionCode,collectionCode,occurrenceID,basisOfRecord,scientificName,genus,taxonID,taxonRank,occurrenceRemarks,habitat,associatedOccurrences,associatedTaxa,substrate,recordId,country,db,match.number,match.name,new.ID,namecheck.db,score
3225,7808,7808,Abultilon texensis,6063539,ANSP,PH-Type-Fungi,d6c268cf-9632-4694-b1a9-4fb9d4bfe568,PreservedSpecimen,Uromyces pulcherrimus,Uromyces,554402,Species,,Ad fol. Abultilon texensis.,NA,Abutilon texense,NA,urn:uuid:d6c268cf-9632-4694-b1a9-4fb9d4bfe568,United States,Mycoportal.db,331,Abutilon fruticosum Guill. & Perr.,kew-2610628,The.plant.list,NA
2559,79968,79968,Acacia gregii,4344182,UC,,d361ea32-bb98-4f19-959e-82caa933000d,PreservedSpecimen,Ravenelia versatilis,Ravenelia,405736,Species,,NA,NA,host: Acacia gregii,NA,urn:uuid:d361ea32-bb98-4f19-959e-82caa933000d,USA,Mycoportal.db,271,Acacia greggii A.Gray,ild-10249,The.plant.list,NA
3160,12602,12602,Acalypha humboltiana,5650441,RMS,,7f70426c-18b5-42dd-829c-a190bc438438,PreservedSpecimen,Uromyces galphimiae,Uromyces,553916,Species,,NA,NA,host: Acalypha humboltiana,NA,urn:uuid:7f70426c-18b5-42dd-829c-a190bc438438,Mexico,Mycoportal.db,323,Acalypha humboltiana Baill.,kew-705,The.plant.list,NA
3026,92546,92546,Acer pseudo-platanus,4243862,RMS,,d63cd451-48ce-42fe-891a-7b070a9996b6,PreservedSpecimen,Uncinula bicornis,Uncinula,550624,Species,,Acer pseudo-platanus,NA,host: Acer pseudo-platanus,NA,urn:uuid:d63cd451-48ce-42fe-891a-7b070a9996b6,England,Mycoportal.db,307,Acer pseudoplatanus L.,kew-2616276,The.plant.list,NA
835,189391,189391,Aceri tatarici,340015,MICH,Fungi,e066e957-2bd0-4862-86c1-c522de67bf99,PreservedSpecimen,Dothiorella aceris,Dothiorella,177486,Species,Bot. Mater. Inst. Sporov. Rast. Glavn. Bot. Sada RSFSR 1926 4: 26.,On Aceri tatarici twigs,NA,NA,NA,urn:uuid:e066e957-2bd0-4862-86c1-c522de67bf99,Russian Federation,Mycoportal.db,102,Acer tataricum L.,kew-2616524,The.plant.list,NA
2270,90302,90302,Achillea millefolia,4276083,UC,,28cda514-a387-4789-90e2-79dc54b47cb9,PreservedSpecimen,Puccinia millefolii,Puccinia,399275,Species,,leaves and stems of host,NA,host: Achillea millefolia,NA,urn:uuid:28cda514-a387-4789-90e2-79dc54b47cb9,USA,Mycoportal.db,243,Achillea millefolium L.,gcc-140712,The.plant.list,NA
2271,85597,85597,Achillea millefolia,4309347,UC,,75c77b3d-22d9-4508-ae8a-fb4df27f3df6,PreservedSpecimen,Puccinia millefolii,Puccinia,399275,Species,,leaves of Achillea millefolia,NA,NA,NA,urn:uuid:75c77b3d-22d9-4508-ae8a-fb4df27f3df6,Sweden,Mycoportal.db,243,Achillea millefolium L.,gcc-140712,The.plant.list,NA
2034,195811,195811,Achyrocline satureioides vargasiana,3168952,MICH,Fungi,37fe800f-cf0f-4d93-8f21-beafd0b57241,PreservedSpecimen,Puccinia achyroclines,Puccinia,397033,Species,"Reliquiae Holwayanae, 1-700, E.W.D. Holway, exs #: 622",On Achyrocline satureioides vargasiana,NA,host: Achyrocline satureioides vargasiana,NA,urn:uuid:37fe800f-cf0f-4d93-8f21-beafd0b57241,Brazil,Mycoportal.db,200,Achyrocline satureioides (Lam.) DC.,gcc-13716,The.plant.list,NA
2035,195812,195812,Achyrocline satureioides vargasiana,3168951,MICH,Fungi,f3da1f64-04a0-44dd-ab7f-e1d6be3fe8bb,PreservedSpecimen,Puccinia achyroclines,Puccinia,397033,Species,,On Achyrocline satureioides vargasiana,NA,host: Achyrocline satureioides vargasiana,NA,urn:uuid:f3da1f64-04a0-44dd-ab7f-e1d6be3fe8bb,Brazil,Mycoportal.db,200,Achyrocline satureioides (Lam.) DC.,gcc-13716,The.plant.list,NA
1932,18953.1,18953,Agave desertii,5098148,UC,,1b0cb381-e40e-4351-81d7-e82f34f9fc22,PreservedSpecimen,Piptarthron pluriloculare,Piptarthron,377913,Species,,NA,NA,host: Agave desertii,NA,urn:uuid:1b0cb381-e40e-4351-81d7-e82f34f9fc22,USA,Mycoportal.db,192,Agave deserti Engelm.,kew-293754,The.plant.list,NA
2227,130191.1,130191,Agoseris apargiodes,3772622,RMS,,6aac6f4e-ac05-4870-8a4b-25edf4a76a57,PreservedSpecimen,Puccinia hieracii,Puccinia,188306,Species,,On Agoseris apargioides,NA,host: Agoseris apargiodes,NA,urn:uuid:6aac6f4e-ac05-4870-8a4b-25edf4a76a57,United States,Mycoportal.db,232,Agoseris apargiodes (Less.) Kuntze,gcc-97397,The.plant.list,NA
1919,113571.1,113571,Alisma plantago graminifolium,3853582,MICH,Fungi,e4ae55b7-71e2-4afe-a288-e9d66e6fc136,PreservedSpecimen,Physoderma maculare,Physoderma,187509,Species,[Locality information obscure],On Alisma plantago v. graminifolium,NA,host: Alisma plantago graminifolium,NA,urn:uuid:e4ae55b7-71e2-4afe-a288-e9d66e6fc136,,Mycoportal.db,190,Alisma plantago R. Br.,tro-900126,The.plant.list,NA
1920,113548.1,113548,Alisma plantago lanceolata,3853607,MICH,Fungi,029611a1-20f1-4bed-a651-42ee9604cfaf,PreservedSpecimen,Physoderma maculare,Physoderma,187509,Species,"Phycomyceten und Protomyceten, 1-350, P. Sydow, exs #: 141",On Alisma plantago lanceolata,NA,host: Alisma plantago lanceolata,NA,urn:uuid:029611a1-20f1-4bed-a651-42ee9604cfaf,Germany,Mycoportal.db,191,Alisma plantago R. Br.,tro-900126,The.plant.list,NA
784,197036.1,197036,Alisma plantagoaquatica,3156864,RMS,,1544fe00-9e4c-46fd-9ea2-eb2fc120abb5,PreservedSpecimen,Didymaria alismatis,Didymaria,171223,Species,,NA,NA,host: Alisma plantagoaquatica,NA,urn:uuid:1544fe00-9e4c-46fd-9ea2-eb2fc120abb5,USA,Mycoportal.db,96,Alisma plantago-aquatica L.,kew-294841,The.plant.list,NA
1230,7189,7189,Alnum serrulatum,6064175,ANSP,PH-Type-Fungi,a38f7d62-df57-496e-9491-636d459b7810,PreservedSpecimen,Hypocrea rufo-viridis,,NA,,,Ad Alnum serrulatum,NA,NA,NA,urn:uuid:a38f7d62-df57-496e-9491-636d459b7810,United States,Mycoportal.db,142,Alnus serrulata (Aiton) Willd.,kew-6598,The.plant.list,NA
1246,108754,108754,Alnum serrulatum,3960381,PH,,18178b5b-96fc-4e48-a996-71b2b7b869f4,PreservedSpecimen,Hypoxylon xanthocreas,Hypoxylon,249723,Species,"Ravenel Fasc. 5, 1860",ad Alnum serrulatum,NA,host: Alnus serrulata,NA,urn:uuid:18178b5b-96fc-4e48-a996-71b2b7b869f4,USA,Mycoportal.db,142,Alnus serrulata (Aiton) Willd.,kew-6598,The.plant.list,NA
115,15786,15786,Alnus oregona,5152332,CINC,,270ad448-e089-4601-8ae6-8c533f2ffaf2,PreservedSpecimen,Amyloporia sinuosa,Amyloporia,96723,Species,,on Alnus oregona,NA,NA,NA,urn:uuid:270ad448-e089-4601-8ae6-8c533f2ffaf2,United States,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
226,160112,160112,Alnus oregona,3621237,MICH,Fungi,f7096363-cd22-4c8a-8475-1815647f3422,PreservedSpecimen,Bertia moriformis,Bertia,112914,Species,,Alnus oregona,NA,host: Alnus oregona,NA,urn:uuid:f7096363-cd22-4c8a-8475-1815647f3422,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
227,160118,160118,Alnus oregona,3621227,MICH,Fungi,abdf5bd3-c0a2-40a8-a6b6-d27fbc50015e,PreservedSpecimen,Bertia moriformis,Bertia,112914,Species,,Alnus oregona,NA,host: Alnus oregona,NA,urn:uuid:abdf5bd3-c0a2-40a8-a6b6-d27fbc50015e,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
228,160119,160119,Alnus oregona,3621226,MICH,Fungi,7a013a70-0a89-4576-be40-ceda1c3e9685,PreservedSpecimen,Bertia moriformis,Bertia,112914,Species,,Alnus oregona,NA,host: Alnus oregona,NA,urn:uuid:7a013a70-0a89-4576-be40-ceda1c3e9685,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
229,160128,160128,Alnus oregona,3621211,MICH,Fungi,04121d15-0f11-41e4-8171-527ead3fd92a,PreservedSpecimen,Bertia moriformis,Bertia,112914,Species,,Alnus oregona,NA,host: Alnus oregona,NA,urn:uuid:04121d15-0f11-41e4-8171-527ead3fd92a,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
708,216070,216070,Alnus oregona,2528978,MU,,d213c94f-ea36-48f3-a6e1-21a899017645,PreservedSpecimen,Dacrymyces minor,Dacrymyces,163695,Species,,NA,NA,host: Alnus oregona,NA,urn:uuid:d213c94f-ea36-48f3-a6e1-21a899017645,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
715,215789,215789,Alnus oregona,2531988,MU,,cf257133-87d7-461a-b92d-85e2ea2527c6,PreservedSpecimen,Datronia mollis,Datronia,165545,Species,,NA,NA,host: Alnus oregona,NA,urn:uuid:cf257133-87d7-461a-b92d-85e2ea2527c6,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
716,215790,215790,Alnus oregona,2531986,MU,,83837a8d-ccf3-4230-971a-faa7b4f634e9,PreservedSpecimen,Datronia mollis,Datronia,165545,Species,,NA,NA,host: Alnus oregona,NA,urn:uuid:83837a8d-ccf3-4230-971a-faa7b4f634e9,United States,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
717,215792,215792,Alnus oregona,2531982,MU,,e3a61bf9-eb34-4e3f-820a-df850fe6e63a,PreservedSpecimen,Datronia mollis,Datronia,165545,Species,,NA,NA,host: Alnus oregona,NA,urn:uuid:e3a61bf9-eb34-4e3f-820a-df850fe6e63a,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
724,147767,147767,Alnus oregona,3680029,MICH,Fungi,566c27d3-2ed6-4955-a21f-056233a5d386,PreservedSpecimen,Dermatella frangulae,Dermatella,167363,Species,,Alnus oregona,NA,host: Alnus oregona,NA,urn:uuid:566c27d3-2ed6-4955-a21f-056233a5d386,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
775,155714,155714,Alnus oregona,3643452,MICH,Fungi,cace1655-b4fe-484a-93dc-6cf44f14ff92,PreservedSpecimen,Diatrypella placenta,Diatrypella,169417,Species,,Alnus oregona,NA,host: Alnus oregona,NA,urn:uuid:cace1655-b4fe-484a-93dc-6cf44f14ff92,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
954,30447,30447,Alnus oregona,4951520,CINC,,8d00eadb-106d-4661-93c1-d6f515abbe85,PreservedSpecimen,Exidia glandulosa,Exidia,218358,Species,,on Alnus oregona,NA,NA,NA,urn:uuid:8d00eadb-106d-4661-93c1-d6f515abbe85,United States,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
1241,154343,154343,Alnus oregona,3648155,MICH,Fungi,d9c6f67d-e640-4bc5-a1d2-88191f2840ef,PreservedSpecimen,Hypoxylon multiforme,Hypoxylon,249408,Species,,Alnus oregona,NA,host: Alnus oregona,NA,urn:uuid:d9c6f67d-e640-4bc5-a1d2-88191f2840ef,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
1242,154349,154349,Alnus oregona,3648148,MICH,Fungi,c8f2a322-2477-4ee4-adfd-5a0b0d0cbff8,PreservedSpecimen,Hypoxylon multiforme,Hypoxylon,249408,Species,,Alnus oregona,NA,host: Alnus oregona,NA,urn:uuid:c8f2a322-2477-4ee4-adfd-5a0b0d0cbff8,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
1243,154358,154358,Alnus oregona,3648132,MICH,Fungi,e852a5df-0a44-40bc-9c08-c5a4413ab3c7,PreservedSpecimen,Hypoxylon multiforme,Hypoxylon,249408,Species,,Alnus oregona,NA,host: Alnus oregona,NA,urn:uuid:e852a5df-0a44-40bc-9c08-c5a4413ab3c7,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
1431,32331,32331,Alnus oregona,4924053,CINC,,5d97d020-426c-4621-b8c0-585579fe92e3,PreservedSpecimen,Melampsoridium alni,Melampsoridium,284710,Species,,on Alnus oregona,NA,NA,NA,urn:uuid:5d97d020-426c-4621-b8c0-585579fe92e3,United States,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
1529,64414,64414,Alnus oregona,454130,MICH,Fungi,2e940dec-a398-4705-a216-12c18f3d8dda,PreservedSpecimen,Mycena galericulata,Mycena,185953,Species,,On Alnus oregona,NA,NA,NA,urn:uuid:2e940dec-a398-4705-a216-12c18f3d8dda,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
1584,103139,103139,Alnus oregona,3986924,MU,,af2e58d4-d8c2-4b29-baca-1316aba3f9b3,PreservedSpecimen,Nidula candida,Nidula,306328,Species,,NA,NA,host: Alnus oregona,NA,urn:uuid:af2e58d4-d8c2-4b29-baca-1316aba3f9b3,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
1775,34677,34677,Alnus oregona,487787,MICH,Fungi,8c1b1322-e270-4f7d-b959-74fde78ce812,PreservedSpecimen,Phellinus ferruginosus,Phellinus,365288,Species,,On Alnus oregona,NA,NA,NA,urn:uuid:8c1b1322-e270-4f7d-b959-74fde78ce812,USA,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
1991,15862,15862,Alnus oregona,5140482,CINC,,1ec62a83-7a4a-4d15-904a-2e37df7a850e,PreservedSpecimen,Poria griseoalba,Poria,388524,Species,,on Alnus oregona,NA,NA,NA,urn:uuid:1ec62a83-7a4a-4d15-904a-2e37df7a850e,United States,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
2920,55765,55765,Alnus oregona,4632590,CINC,,17bbf351-df13-4cfe-b888-c58ac7f66ffb,PreservedSpecimen,Taphrina occidentalis,Taphrina,439877,Species,"Mycobiota of North America, 1-450, W.B. Cooke, exs #: 94",on Alnus oregona,NA,NA,NA,urn:uuid:17bbf351-df13-4cfe-b888-c58ac7f66ffb,United States,Mycoportal.db,18,Alnus rubra Bong.,kew-6584,The.plant.list,NA
80,149976,149976,Amarantus retroflexus,3670317,PH,,e11d96aa-f72c-421f-bb2a-4b58c389db42,PreservedSpecimen,Albugo bliti,Albugo,617105,Species,"The Academy of Natural Sciences of Philadelphia; Herbarium of Albert Commons, Delaware. See exchange material.",on leaves of Amarantus retroflexus L.,NA,host: Amaranthus retroflexus,NA,urn:uuid:e11d96aa-f72c-421f-bb2a-4b58c389db42,USA,Mycoportal.db,11,Amaranthus retroflexus L.,kew-2633061,The.plant.list,NA
111,57675,57675,Amarantus retroflexus,4630228,UC,,79b9d9c7-3ac1-4af2-8753-7348491411ad,PreservedSpecimen,Alternaria solani,Alternaria,94389,Species,,Amarantus retroflexus,NA,host: Amarantus retroflexus,NA,urn:uuid:79b9d9c7-3ac1-4af2-8753-7348491411ad,Canada,Mycoportal.db,11,Amaranthus retroflexus L.,kew-2633061,The.plant.list,NA
3356,113656,113656,Amarantus retroflexus,3852999,PH,,9a122835-7ad9-43f1-bfbb-6f7b8da996db,PreservedSpecimen,Wilsoniana bliti,Wilsoniana,658540,Species,"Ex Herbarium United States Department of Agriculture, Division of Vegetable Physiology and Pathology.",On Amarantus retroflexus.,NA,NA,NA,urn:uuid:9a122835-7ad9-43f1-bfbb-6f7b8da996db,USA,Mycoportal.db,11,Amaranthus retroflexus L.,kew-2633061,The.plant.list,NA
3257,86613,86613,Amorpha tennesseensis,4304135,RMS,,48f2b3f9-6ca3-4ca2-8df6-1a6547cbd387,PreservedSpecimen,Uropyxis amorphae,Uropyxis,190325,Species,,NA,NA,host: Amorpha tennesseensis,NA,urn:uuid:48f2b3f9-6ca3-4ca2-8df6-1a6547cbd387,United States,Mycoportal.db,337,Amorpha fruticosa L.,ild-8577,The.plant.list,NA
2802,7584,7584,Andromedae viviae ligustrinae,6063769,ANSP,PH-Type-Fungi,1e9026ea-e07e-4319-8f9a-62041dbacd9d,PreservedSpecimen,Sphaeria grumata,Sphaeria,426685,Species,,In Andromedae viviae ligustrinae L. ramis truncisque,NA,NA,NA,urn:uuid:1e9026ea-e07e-4319-8f9a-62041dbacd9d,United States,Mycoportal.db,289,Andromeda davisiae C.K.Schneid.,kew-2637150,The.plant.list,NA
2755,108644,108644,Andropogon virginicum,3960503,MU,,492305bd-6377-4141-a4d0-c86b38f98d3f,PreservedSpecimen,Sorosporium ellisii var. occidentale,Sorosporium,534549,Variety,"Herbarium of the University of Pennsylvania. This is part b. See also bar code PH00324081; showing the early stage of growth.; North American Fungi. Series II. [Ellis & Everhart, N. Amer. Fungi. Ser. II], 1501-3600, plus extras, J.B. Ellis ; B.M. Everhart, exs #: 2265b",On Andropogon virginicum. (Andropogon virginicus),NA,host: Andropogon virginicus,NA,urn:uuid:492305bd-6377-4141-a4d0-c86b38f98d3f,United States,Mycoportal.db,286,Andropogon virginicus L.,kew-393606,The.plant.list,NA
2756,108505,108505,Andropogon virginicum,3960648,PH,,c9f3a475-0703-4675-8575-82ee285cfe5c,PreservedSpecimen,Sorosporium everhartii,Sorosporium,423421,Species,"See also bar code PH00316812 which is part a. Issued 1889; showing the early stage of growth.; North American Fungi. Series II. [Ellis & Everhart, N. Amer. Fungi. Ser. II], 1501-3600, plus extras, J.B. Ellis ; B.M. Everhart, exs #: 2265b",On Andropogon virginicum. (Andropogon virginicus),NA,host: Andropogon virginicus,NA,urn:uuid:c9f3a475-0703-4675-8575-82ee285cfe5c,United States,Mycoportal.db,286,Andropogon virginicus L.,kew-393606,The.plant.list,NA
2757,188072,188072,Andropogon virginicum,341568,MICH,Fungi,053ab8a6-de10-464a-8968-15b7e69eb9b2,PreservedSpecimen,Sorosporium everhartii,Sorosporium,423428,Species,"North American Fungi, Series II 2265b J. Mycol. 1890 6: 32.",On Andropogon virginicum,NA,NA,NA,urn:uuid:053ab8a6-de10-464a-8968-15b7e69eb9b2,USA,Mycoportal.db,286,Andropogon virginicus L.,kew-393606,The.plant.list,NA
2758,163850,163850,Andropogon virginicum,3596194,MU,,02df8d3a-0d02-48ea-a780-51b3dee7974c,PreservedSpecimen,Sorosporium everhartii,Sorosporium,423428,Species,"North American Fungi. Series II. [Ellis & Everhart, N. Amer. Fungi. Ser. II], 1501-3600, plus extras, J.B. Ellis ; B.M. Everhart, exs #: 2265b",On Andropogon virginicum.,NA,NA,NA,urn:uuid:02df8d3a-0d02-48ea-a780-51b3dee7974c,United States,Mycoportal.db,286,Andropogon virginicus L.,kew-393606,The.plant.list,NA
2162,104752,104752,Anemone nemerosa,3969091,PH,,f6a49083-c213-47cb-a553-a27c3a4cf835,PreservedSpecimen,Puccinia fusca,Puccinia,398418,Species,"Mycotheca Germanica. Herbarium of the University of Pennsylvania; Mycotheca Germanica, 1-3000, H. Sydow and P. Sydow, exs #: 658",Auf Blattern von Anemone nemerosa,NA,host: Anemone nemerosa,NA,urn:uuid:f6a49083-c213-47cb-a553-a27c3a4cf835,Germany,Mycoportal.db,221,Anemone nemorosa L.,kew-2638482,The.plant.list,NA
2163,104679,104679,Anemone nemerosa,3969171,PH,,25601dd5-1140-4edf-94ab-378047798bfd,PreservedSpecimen,Puccinia fusca,Puccinia,398418,Species,"Mycotheca Germanica. Herbarium of the University of Pennsylvania; Mycotheca Germanica, 1-3000, H. Sydow and P. Sydow, exs #: 1467",Auf Blattern von Anemone nemerosa,NA,host: Anemone nemorosa,NA,urn:uuid:25601dd5-1140-4edf-94ab-378047798bfd,Germany,Mycoportal.db,221,Anemone nemorosa L.,kew-2638482,The.plant.list,NA
2969,104554,104554,Anemone nemerosa,3969298,PH,,b428cec0-c0ae-4b15-a615-89f8a6d23685,PreservedSpecimen,Tranzschelia pruni-spinosae,Tranzschelia,189960,Species,Herbarium of Albert Commons,In low woods; On leaves of Anemone nemerosa,NA,NA,NA,urn:uuid:b428cec0-c0ae-4b15-a615-89f8a6d23685,USA,Mycoportal.db,221,Anemone nemorosa L.,kew-2638482,The.plant.list,NA
524,169363,169363,Anthoxantum odoratum,357156,MICH,Fungi,753a5e4e-0b1a-469d-b6ea-34543d3fda08,PreservedSpecimen,Claviceps microcephala,Claviceps,142909,Species,"Mycotheca Germanica Sydow, H. 2142.",On ovaries of Anthoxantum odoratum,NA,NA,NA,urn:uuid:753a5e4e-0b1a-469d-b6ea-34543d3fda08,Germany,Mycoportal.db,71,Anthoxanthum odoratum L.,kew-394021,The.plant.list,NA
1953,111705,111705,Anthriscus nitidus,3934594,MICH,Fungi,3f9ef914-07b9-449c-9261-7043a205f230,PreservedSpecimen,Plasmopara nivea,Plasmopara,214714,Species,"Herbarium Mycologicum Romanicum [1-1750] [Săvulescu, Herb. Mycol. Roman.], 1-1750, T. Săvulescu, exs #: 1702",Anthriscus nitidus,NA,host: Anthriscus nitidus,NA,urn:uuid:3f9ef914-07b9-449c-9261-7043a205f230,Romania,Mycoportal.db,194,Anthriscus nitida (Wahlenb.) Garcke,kew-2641844,The.plant.list,NA
329,195127,195127,Arachis hypogea,3173650,RMS,,328d8772-6836-4bc0-8f24-2e5f2cf216e1,PreservedSpecimen,Cercospora arachidicola,Cercospora,131130,Species,,NA,NA,host: Arachis hypogea,NA,urn:uuid:328d8772-6836-4bc0-8f24-2e5f2cf216e1,Argentina,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
330,195128,195128,Arachis hypogea,3173649,RMS,,ee75d911-1445-4aa7-83f2-bf290171d8a7,PreservedSpecimen,Cercospora arachidicola,Cercospora,131130,Species,,NA,NA,host: Arachis hypogea,NA,urn:uuid:ee75d911-1445-4aa7-83f2-bf290171d8a7,,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
412,198655,198655,Arachis hypogea,3151746,RMS,,a47d0c3e-a8b9-4ddb-801b-97971a67fd3c,PreservedSpecimen,Cercospora personata,Cercospora,132993,Species,,NA,NA,host: Arachis hypogea,NA,urn:uuid:a47d0c3e-a8b9-4ddb-801b-97971a67fd3c,USA,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
413,135010.1,135010,Arachis hypogea,3746029,MICH,Fungi,f514ed85-a4e9-424c-958d-05dffa389371,PreservedSpecimen,Cercospora personata,Cercospora,132993,Species,,On Arachis hypogaea.,NA,host: Arachis hypogea,NA,urn:uuid:f514ed85-a4e9-424c-958d-05dffa389371,USA,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
414,202816,202816,Arachis hypogea,3060587,RMS,,b67e2df4-e2ad-491e-9c23-d4ab148f664b,PreservedSpecimen,Cercospora personata,Cercospora,132993,Species,,On Arachis hypogea,NA,host: Arachis hypogea,NA,urn:uuid:b67e2df4-e2ad-491e-9c23-d4ab148f664b,USA,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
415,135009,135009,Arachis hypogea,3746033,MICH,Fungi,2eb02217-24ee-4f70-a158-ba1442873d0b,PreservedSpecimen,Cercospora personata,Cercospora,132993,Species,,On Arachis hypogea.,NA,host: Arachis hypogea,NA,urn:uuid:2eb02217-24ee-4f70-a158-ba1442873d0b,USA,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
416,198651,198651,Arachis hypogea,3151751,RMS,,c869c9c0-4c98-454c-9001-22091fd43c6c,PreservedSpecimen,Cercospora personata,Cercospora,132993,Species,,S/. Arachis hypogea,NA,host: Arachis hypogea,NA,urn:uuid:c869c9c0-4c98-454c-9001-22091fd43c6c,Argentina,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
417,198656,198656,Arachis hypogea,3151745,RMS,,75429f26-3193-4821-bbdb-f015e24da17e,PreservedSpecimen,Cercospora personata,Cercospora,132993,Species,,on Arachis hypogeae,NA,host: Arachis hypogeae,NA,urn:uuid:75429f26-3193-4821-bbdb-f015e24da17e,USA,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
574,264919,264919,Arachis hypogea,NA,IASD,,,HumanObservation,Comoclathris indica,Comoclathris,NA,Species,Mycobank Linking Number: 132536,NA,NA,host: living leaves of Arachis hypogea L.(Fabaceae),living leaves of Arachis hypogea L.(Fabaceae),urn:uuid:83129340-5465-404a-aff7-34099f2520d0,India,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
1545,154762,154762,Arachis hypogea,3646850,RMS,,94d95a58-d511-4b81-8887-b04ad6f699db,PreservedSpecimen,Mycosphaerella arachidicola,Mycosphaerella,644092,Species,,NA,NA,host: Arachis hypogea,NA,urn:uuid:94d95a58-d511-4b81-8887-b04ad6f699db,Zambia,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
1549,154743,154743,Arachis hypogea,3646900,RMS,,81f9ef83-6014-453e-9888-76619477859e,PreservedSpecimen,Mycosphaerella berkeleyi,Mycosphaerella,186035,Species,,NA,NA,host: Arachis hypogea,NA,urn:uuid:81f9ef83-6014-453e-9888-76619477859e,,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
2763,139375,139375,Arachis hypogea,3724561,MICH,Fungi,982a93f6-0d7d-4eab-8f42-5bf04c78700e,PreservedSpecimen,Sphaceloma arachidis,Sphaceloma,423935,Species,"Myriangiales Selecti Exsiccati, 1-550, A.E. Jenkins and A.A. Bitancourt, exs #: 359",On Arachis hypogea leaves.,NA,host: Arachis hypogea,NA,urn:uuid:982a93f6-0d7d-4eab-8f42-5bf04c78700e,Brazil,Mycoportal.db,49,Arachis hypogaea L.,ild-2050,The.plant.list,NA
483,28773,28773,Aragallus lamberti,5014187,UC,,1b90968a-29dd-40d8-90b1-5b87f005cab8,PreservedSpecimen,Chaetodiplodia aragali,,NA,,"Cryptogamae Formationum Coloradensium, 1-615, F.E. Clements and E.S. Clements, exs #: 485",Aragallus lambertii,NA,host: Aragallus lambertii,NA,urn:uuid:1b90968a-29dd-40d8-90b1-5b87f005cab8,USA,Mycoportal.db,63,Oxytropis lambertii Pursh,ild-14639,The.plant.list,NA
1591,98047,98047,Aragallus lamberti,4022371,MU,,55446bd5-ea1f-40b3-97ff-3119303c97bd,PreservedSpecimen,Nigredo punctata,Nigredo,306585,Species,"North American Uredinales, 1-3500, E. Bartholomew, exs #: 3195",NA,NA,host: Aragallus lambertii,NA,urn:uuid:55446bd5-ea1f-40b3-97ff-3119303c97bd,United States,Mycoportal.db,63,Oxytropis lambertii Pursh,ild-14639,The.plant.list,NA
1592,98049,98049,Aragallus lamberti,4022367,MU,,911e9285-6be7-40f6-823f-f14ab845a665,PreservedSpecimen,Nigredo punctata,Nigredo,306585,Species,"Fungi Dakotenses [Brenckle, Fungi Dakot.], 1-675, plus extras, J.F. Brenckle, exs #: 373",NA,NA,host: Aragallus lambertii,NA,urn:uuid:911e9285-6be7-40f6-823f-f14ab845a665,United States,Mycoportal.db,63,Oxytropis lambertii Pursh,ild-14639,The.plant.list,NA
