,spec.name,Old.name,scientificName,Fuzzy.dist,taxonRank,taxonomicStatus,manual name,manual.auth
1119,Hippuridis vulgaris,,Hippuris vulgaris,2,species,Accepted,,
1132,Homaolaus caespitosus,Homalobus caespitosus,Astragalus spatulatus,3,species,Accepted,,
1133,Homaolaus caespitosus,Homalobus caespitosus,Astragalus spatulatus,3,species,Accepted,,
1048,Hydrocharis morsus,,Hydrocharis morsus-ranae,6,species,Accepted,,
521,Hypericorum formosum,,Hypericum formosum,2,species,Accepted,,
690,Ilex dahoonis,Ilex dahoon,Ilex cassine,2,species,Accepted,,
433,Iris versicoloris,,Iris versicolor,2,species,Accepted,,
434,Iris versicoloris,Iris versicolor,Iris laevigata,2,species,Accepted,,
851,Isopyron thalictroides,,Isopyrum thalictroides,2,species,Accepted,,
828,Iussiaeae longifoliae,Jussiaea longifolia,Ludwigia longifolia,3,species,Accepted,,
280,Jacaranda mimosaefolia,,Jacaranda mimosifolia,2,species,Accepted,,
847,Jambos vulgaris,Jambosa vulgaris,Syzygium jambos,1,species,Accepted,,
424,Juniper virginiana,,Juniperus virginiana,2,species,Accepted,,
416,Junipera virginianae,,Juniperus,13,genus,Accepted,,
1033,Kalina angustifolia,,Kalmia angustifolia,2,species,Accepted,,
127,Lampsana communis,,Lapsana communis,1,species,Accepted,,
634,Lappa majoris,Lappa major,Arctium lappa,2,species,Accepted,,
635,Lappa majoris,Lappa major,Arctium lappa,2,species,Accepted,,
382,Lappa minores,Lappa minor,Arctium minus,2,species,Accepted,,
94,Lathyrus nigri,,Lathyrus niger,2,species,Accepted,,
1101,Laythrus obovatus,Lathyrus obovatus,Lathyrus nevadensis  subsp. nevadensis,2,subspecies,Accepted,,
740,Leonotis nepetaefolia,,Leonotis nepetifolia,2,species,Accepted,,
1089,Lespedeziae violaceae,,Lespedeza violacea,3,species,Accepted,,
1116,Lespedizae violacea,,Lespedeza violacea,2,species,Accepted,,
522,Limun lewisii,,Linum lewisii,2,species,Accepted,,
827,Lugwrigia virgata,,Ludwigia virgata,2,species,Accepted,,
835,Luzia campestris,,Luzula campestris,2,species,Accepted,,
852,Lycopsidis arvensis,Lycopsis arvensis,Anchusa arvensis,2,species,Accepted,,
737,Machaerii seemanni,,Machaerium seemannii,3,species,Accepted,,
614,Maiomia canadensis,Meibomia canadensis,Desmodium canadense,2,species,Accepted,,
