Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
CALICIACEAE,"Baculifera sp.","Marbach & Kalb","New or reinstated (Marbach 2000)., Molecular: Yes., source: Marbach 2000",124676
CALICIACEAE,"Buellia sp.","De Not.","Changed classification and new synonymy (Bungartz et al. 2007; Gaya et al. 2012; Prieto & Wedin 2016)., Molecular: Yes., Notes. The genera Buellia, typified by B. disciformis (Fr.) Mudd (conserved type) and Hafellia, typified by H. leptoclinoides (Nyl.) Scheid. & H.Mayrhofer, are congeneric, since the type species are closely related (Bungartz et al. 2007; Marbach 2000). The conservation of Buellia with B. disciformis as type was proposed by Aptroot (1987) and accepted, although based on an erroneous lectotypification, since the name B.disciformis was not part of the protologue of Buellia. For unknown reasons, an attempt to correct this error and make the name Buellia available for a widespread andcommon group of saxicolous species centered around B.aethalea (Ach.) Th. Fr., thus maintaining Hafellia for the corticolous species related to B. disciformis (Mobert et al.1999) was not accepted (Bungartz et al. 2007). The problem continues to linger around in the literature, with both Buellia and Hafellia continuing to be used., source: Bungartz et al. 2007",52084
CALICIACEAE,"Calicium sp.",Pers.,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",51834
CALICIACEAE,"Chrismofulvea sp.",Marbach,"New or reinstated (Marbach 2000)., Molecular: Yes., source: Marbach 2000",124690
CALICIACEAE,"Ciposia sp.",Marbach,"New or reinstated (Marbach 2000)., Molecular: No., source: Marbach 2000",124691
CALICIACEAE,"Cratiria sp.",Marbach,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",124697
CALICIACEAE,"Cyphelium sp.",Ach.,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",51835
CALICIACEAE,"Dermatiscum sp.",Nyl.,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",64172
CALICIACEAE,"Dermiscellum sp.","Hafellner, H. Mayrhofer & Poelt","Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: No., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",52086
CALICIACEAE,"Dimelaena sp.",Norman,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",52087
CALICIACEAE,"Diploicia sp.","A. Massal.","Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",52088
CALICIACEAE,"Diplotomma sp.",Flot.,"Changed classification and new synonymy (Gaya et al. 2012; Lamb 1968; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Lamb 1968; Prieto & Wedin 2016",52089
CALICIACEAE,"Dirinaria sp.","(Tuck.) Clem.","Changed classification (Gayaet al. 2012; Prieto & Wedin 2016)., Molecular: Yes., source: Gayaet al. 2012; Prieto & Wedin 2016",52090
CALICIACEAE,"Endohyalina sp.",Marbach,"New or reinstated (Marbach 2000)., Molecular: No., source: Marbach 2000",124705
CALICIACEAE,"Fluctua sp.",Marbach,"New or reinstated (Marbach 2000)., Molecular: No., source: Marbach 2000",146332
CALICIACEAE,"Gassicurtia sp.",Fée,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",124714
CALICIACEAE,"Hypoflavia sp.",Marbach,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: No., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",149722
CALICIACEAE,"Monerolechia sp.",Trevis.,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",162608
CALICIACEAE,"Orcularia sp.","(Malme) Kalb & Giralt","New or reinstated (Kalb & Giralt 2011)., Molecular: No., source: Kalb & Giralt 2011",128574
CALICIACEAE,"Pseudothelomma sp.","M. Prieto & Wedin","New or reinstated (Prieto & Wedin 2016)., Molecular: Yes., source: Prieto & Wedin 2016",257805
CALICIACEAE,"Pyxine sp.",Fr.,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",52100
CALICIACEAE,"Redonia sp.","C.W. Dodge","Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: No., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",262295
CALICIACEAE,"Santessonia sp.","Hale & Vobis","Changed classification (Gayaet al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gayaet al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",257929
CALICIACEAE,"Sculptolumina sp.",Marbach,"Changed classification (Gayaet al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: No., source: Gayaet al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",180846
CALICIACEAE,"Sphinctrinopsis sp.",Woron.,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: No., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",262297
CALICIACEAE,"Stigmatochroma sp.",Marbach,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",185710
CALICIACEAE,"Tetramelas sp.",Norman,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",124802
CALICIACEAE,"Texosporium sp.","Nadv. ex Tibell & Hofsten","Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",51836
CALICIACEAE,"Thelomma sp.","A. Massal.","Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",51837
CALICIACEAE,"Tholurna sp.",Norman,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: Yes., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",51838
CALICIACEAE,"Tylophoropsis sp.",Sambo,"Changed classification (Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016)., Molecular: No., source: Gaya et al. 2012; Prieto et al. 2013; Prieto & Wedin 2016",188608
CANDELARIACEAE,"Candelaria sp.","A. Massal.","Changed classification (Bendiksby & Timdal 2013)., Molecular: Yes., source: Bendiksby & Timdal 2013",51944
CANDELARIACEAE,"Candelariella sp.","Müll. Arg.","Changed classification (Bendiksby & Timdal 2013)., Molecular: Yes., source: Bendiksby & Timdal 2013",51945
CANDELARIACEAE,"Candelina sp.",Poelt,"Changed classification (Bendiksby &Timdal 2013)., Molecular: Yes., source: Bendiksby &Timdal 2013",51946
CANDELARIACEAE,"Placomaronea sp.",Räsänen,"Changed classification (Bendiksby & Timdal 2013)., Molecular: Yes., source: Bendiksby & Timdal 2013",124773
CAPNODIALES_FAMILY_INCERTAE_SEDIS,"Racoleus sp.","R. Sant. & D. Hawksw.","New or reinstated (Hawksworth et al. 2011b)., Molecular: No., source: Hawksworth et al. 2011b",262085
CARBONICOLACEAE,"Carbonicola sp.","Bendiksby & Timdal","New or reinstated (Bendiksby & Timdal 2013)., Molecular: Yes., source: Bendiksby & Timdal 2013",256943
CATILLARIACEAE,"Austrolecia sp.",Hertel,"No change., Molecular: Yes.",126273
CATILLARIACEAE,"Catillaria sp.","A. Massal.","No change., Molecular: Yes.",51948
CATILLARIACEAE,"Placolecis sp.",Trevis.,"No change., Molecular: No.",174133
CATILLARIACEAE,"Solenopsora sp.","A. Massal.","No change., Molecular: Yes.",51952
CATILLARIACEAE,"Xanthopsorella sp.","Kalb & Hafellner","No change., Molecular: No.",51951
CELOTHELIACEAE,"Celothelium sp.","A. Massal.","Changed classification (Chen et al. 2015; Gueidan et al. 2014b)., Molecular: Yes., source: Chen et al. 2015; Gueidan et al. 2014b",77332
CHRYSOTRICHACEAE,"Chrysothrix sp.",Mont.,"New synonymy (Sundin et al. 2012)., Molecular: Yes., source: Sundin et al. 2012",51832
CHRYSOTRICHACEAE,"Melarthonis sp.","Frisch & G. Thor","New or reinstated (Frisch et al. 2014a)., Molecular: Yes., source: Frisch et al. 2014a",262117
CLADONIACEAE,"Calathaspis sp.","I.M. Lamb & W.A. Weber","No change., Molecular: No.",262336
CLADONIACEAE,"Carassea sp.","S. Stenroos","No change., Molecular: Yes.",139248
CLADONIACEAE,"Cetradonia sp.","J.C. Wei & Ahti","No change., Molecular: Yes.",124686
CLADONIACEAE,"Cladia sp.",Nyl.,"New synonymy (Lumbsch et al. 2010)., Molecular: Yes., source: Lumbsch et al. 2010",126277
CLADONIACEAE,"Cladonia sp.","Hill ex P. Browne","No change., Molecular: Yes.",51954
CLADONIACEAE,"Gymnoderma sp.",Nyl.,"No change., Molecular: Yes.",51955
CLADONIACEAE,"Heteromyces sp.","Müll. Arg.","No change., Molecular: No.",149585
CLADONIACEAE,"Metus sp.","D.J. Galloway & P. James","No change., Molecular: Yes.",162122
CLADONIACEAE,"Notocladonia sp.","S. Hammer","No change., Molecular: No.",164604
CLADONIACEAE,"Pilophorus sp.","Th. Fr.","No change., Molecular: Yes.",52131
CLADONIACEAE,"Pycnothelia sp.",Duf.,"No change., Molecular: Yes.",51956
CLADONIACEAE,"Sphaerophoropsis sp.",Vain.,"No change., Molecular: No.",183670
CLADONIACEAE,"Squamella sp.","S. Hammer","No change., Molecular: No.",262357
CLADONIACEAE,"Thysanothecium sp.","Mont. & Berk.","No change., Molecular: Yes.",187472
CLAVULINACEAE,"Multiclavula sp.","R.H. Petersen","No change., Molecular: Yes.",52274
COCCOCARPIACEAE,"Coccocarpia sp.",Pers.,"No change., Molecular: Yes.",51957
COCCOCARPIACEAE,"Peltularia sp.","R. Sant.","No change., Molecular: No.",126295
COCCOCARPIACEAE,"Spilonema sp.",Bornet,"New synonymy (Spribille et al. 2014)., Molecular: Yes., source: Spribille et al. 2014",51958
COCCOTREMATACEAE,"Coccotrema sp.","Müll. Arg.","No change., Molecular: Yes.",52216
COCCOTREMATACEAE,"Gyalectaria sp.","Lumbsch, Kalb & Schmitt","New or reinstated (Schmitt et al. 2010)., Molecular: Yes., source: Schmitt et al. 2010",128548
COCCOTREMATACEAE,"Parasiphula sp.","Kantvilas & Grube","No change., Molecular: No.",166580
COENOGONIACEAE,"Coenogonium sp.","Ehrenb. ex Nees","New synonymy (Baloch et al. 2010; Kauff & Lutzoni 2002; Lücking & Kalb 2000; Rivas Plata et al. 2006)., Molecular: Yes., source: Baloch et al. 2010; Kauff & Lutzoni 2002; Lücking & Kalb 2000; Rivas Plata et al. 2006",51902
COLLEMATACEAE,"Blennothallia sp.",Trevis.,"New or reinstated (Otálora et al. 2013a, 2014)., Molecular: Yes., source: Otálora et al. 2013a, 2014",135646
COLLEMATACEAE,"Callome sp.","Otálora & Wedin","New or reinstated (Otálora et al. 2013a, 2014)., Molecular: Yes., source: Otálora et al. 2013a, 2014",256940
COLLEMATACEAE,"Collema sp.","F.H. Wigg","No change., Molecular: Yes.",51959
COLLEMATACEAE,"Enchylium sp.","(Ach.) Gray","New or reinstated (Otálora et al. 2013a, 2014)., Molecular: Yes., source: Otálora et al. 2013a, 2014",145373
COLLEMATACEAE,"Lathagrium sp.","(Ach.) Gray","New or reinstated (Otálora et al. 2013a, 2014)., Molecular: Yes., source: Otálora et al. 2013a, 2014",150444
COLLEMATACEAE,"Leptogium sp.","(Ach.) Gray","New synonymy (Schultz et al. 2015)., Molecular: Yes., source: Schultz et al. 2015",51961
COLLEMATACEAE,"Paracollema sp.","Otálora & Wedin","New or reinstated (Otálora et al. 2013a, 2014)., Molecular: Yes., source: Otálora et al. 2013a, 2014",258083
COLLEMATACEAE,"Pseudoleptogium sp.","Müll. Arg.","New or reinstated (Otálora et al. 2013a, 2014)., Molecular: Yes., source: Otálora et al. 2013a, 2014",176130
COLLEMATACEAE,"Rostania sp.",Trevis.,"New or reinstated (Otálora et al. 2013a, 2014)., Molecular: Yes., source: Otálora et al. 2013a, 2014",180180
COLLEMATACEAE,"Scytinium sp.","(Ach.) Gray","New or reinstated (Otálora et al. 2013a, 2014)., Molecular: Yes., source: Otálora et al. 2013a, 2014",256959
CONIOCYBACEAE,"Chaenotheca sp.","(Th. Fr.) Th. Fr.","Changed classification (Prieto et al. 2013)., Molecular: Yes., source: Prieto et al. 2013",51839
CONIOCYBACEAE,"Sclerophora sp.",Chevall.,"Changed classification (Prieto et al. 2013)., Molecular: Yes., source: Prieto et al. 2013",51842
CORTICIACEAE,"Marchandiomphalina sp.","Diederich, Manfr. Binder & Lawrey","No change., Molecular: Yes.",260632
CYSTOCOLEACEAE,"Cystocoleus sp.","A. Massal.","Changed classification (Muggia et al. 2008; Nelsen et al. 2009; this paper)., Molecular: Yes., source: Muggia et al. 2008; Nelsen et al. 2009; this paper",80590
DACAMPIACEAE,"Dacampia sp.","A. Massal.","Changed classification (Ertz et al. 2015b)., Molecular: Yes., source: Ertz et al. 2015b",51859
DACAMPIACEAE,"Eopyrenula sp.","R.C. Harris","Changed classification (this paper)., Molecular: No., Notes. No molecular data are available for this little known genus and it therefore has been moved from Dothideomycetes to Pezizomycotinaincertae sedis.",51872
DACTYLOSPORACEAE,"Sclerococcum sp.",Fr.,"New or reinstated (Etayo 1995; Smith 2009; Diederich et al. 2013)., Molecular: Yes., source: Etayo 1995; Smith 2009; Diederich et al. 2013",124789
DOTHIDEOMYCETES_FAMILY_INCERTAE_SEDIS,"Asteroporum sp.","Müll. Arg.","Changed classification (this paper)., Molecular: No., Notes. No molecular data are available for this little known genus and it therefore has been moved from Dothideomycetes to Pezizomycotinaincertae sedis.",132832
ELIXIACEAE,"Elixia sp.",Lumbsch,"Changed classification (Bendiksby &Timdal 2013; Miądlikowska et al. 2014)., Molecular: Yes., source: Bendiksby &Timdal 2013; Miądlikowska et al. 2014",128187
ELIXIACEAE,"Meridianelia sp.","Kantvilas & Lumbsch","Changed classification (Bendiksby & Timdal 2013; Miądlikowska et al. 2014)., Molecular: Yes., source: Bendiksby & Timdal 2013; Miądlikowska et al. 2014",258538
EREMITHALLACEAE,"Eremithallus sp.","Lücking, Lumbsch & L. Umaña","New or reinstated (Lücking et al. 2008; Ertz & Diederich 2015)., Molecular: Yes., Notes. Ertz & Diederich (2015) proposed to synonymize Eremithallus with Melaspilea, but the two genera are kept separate here due to the morphoanatomical differences based on the type of M. arthonioides (F´ee) Nyl., source: Lücking et al. 2008; Ertz & Diederich 2015",262224
FUSCIDEACEAE,"Fuscidea sp.","V. Wirth & Vězda","Changed classification (Bendiksby & Timdal 2013; Miądlikowska et al. 2014)., Molecular: Yes., source: Bendiksby & Timdal 2013; Miądlikowska et al. 2014",52240
FUSCIDEACEAE,"Maronea sp.","A. Massal.","Changed classification (Bendiksby & Timdal 2013; Miądlikowska et al. 2014)., Molecular: Yes., source: Bendiksby & Timdal 2013; Miądlikowska et al. 2014",52242
FUSCIDEACEAE,"Orphniospora sp.",Körb.,"Changed classification (Bendiksby & Timdal 2013; Miądlikowska et al. 2014)., Molecular: No., source: Bendiksby & Timdal 2013; Miądlikowska et al. 2014",52243
GLOEOHEPPIACEAE,"Gloeoheppia sp.",Gyeln.,"No change., Molecular: No.",51805
GLOEOHEPPIACEAE,"Gudelia sp.",Henssen,"No change., Molecular: No.",262092
GLOEOHEPPIACEAE,"Pseudopeltula sp.",Henssen,"No change., Molecular: No.",52168
GOMPHILLACEAE,"Actinoplaca sp.","Müll. Arg.","No change., Molecular: Yes.",129280
GOMPHILLACEAE,"Aderkomyces sp.",Bat.,"No change., Molecular: Yes.",129293
GOMPHILLACEAE,"Aplanocalenia sp.","Lücking, Sérus. & Vězda","No change., Molecular: No.",130613
GOMPHILLACEAE,"Arthotheliopsis sp.",Vain.,"No change., Molecular: Yes.",127238
GOMPHILLACEAE,"Asterothyrium sp.","Müll. Arg.","No change., Molecular: Yes.",51894
GOMPHILLACEAE,"Aulaxina sp.",Fée,"No change., Molecular: Yes.",51876
GOMPHILLACEAE,"Caleniopsis sp.","Vězda & Poelt","No change., Molecular: Yes.",137304
GOMPHILLACEAE,"Diploschistella sp.",Vain.,"No change., Molecular: No.",126010
GOMPHILLACEAE,"Echinoplaca sp.",Fée,"No change., Molecular: Yes.",51878
GOMPHILLACEAE,"Ferraroa sp.","Lücking, Sérus. & Vězda","No change., Molecular: No.",261668
GOMPHILLACEAE,"Gomphillus sp.",Nyl.,"No change., Molecular: Yes.",51879
GOMPHILLACEAE,"Gyalectidium sp.","Müll. Arg.","No change., Molecular: Yes.",51880
GOMPHILLACEAE,"Gyalidea sp.","Lettau ex Vězda","No change., Molecular: Yes.",52192
GOMPHILLACEAE,"Gyalideopsis sp.",Vězda,"No change., Molecular: Yes.",51881
GOMPHILLACEAE,"Hippocrepidea sp.",Sérus.,"No change., Molecular: No.",261577
GOMPHILLACEAE,"Jamesiella sp.","Lücking, Sérus. & Vězda","No change., Molecular: No.",127170
GOMPHILLACEAE,"Lithogyalideopsis sp.","Lücking, Sérus. & Vězda","No change., Molecular: No.",262450
GOMPHILLACEAE,"Paratricharia sp.",Lücking,"No change., Molecular: No.",166599
GOMPHILLACEAE,"Phyllogyalidea sp.",Lücking,"No change., Molecular: No.",261694
GOMPHILLACEAE,"Psorotheciopsis sp.",Rehm,"No change., Molecular: No.",176705
GOMPHILLACEAE,"Rolueckia sp.","Papong, Thammath. & Boonpr.","No change., Molecular: Yes.",180154
GOMPHILLACEAE,"Rubrotricha sp.","Lücking, Sérus. & Vězda","No change., Molecular: Yes.",261699
GOMPHILLACEAE,"Tricharia sp.",Fée,"No change., Molecular: Yes.",51883
GRAPHIDACEAE,"Acanthothecis sp.",Clem.,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124669
GRAPHIDACEAE,"Acanthotrema sp.",Frisch,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",128703
GRAPHIDACEAE,"Aggregatorygma sp.","M. Cáceres, Aptroot & Lücking","New or reinstated (Cáceres et al. 2014)., Molecular: Yes., source: Cáceres et al. 2014",262458
GRAPHIDACEAE,"Amazonotrema sp.","Kalb & Lücking","Changed classification (Rivas Plata et al. 2012a)., Molecular: No., source: Rivas Plata et al. 2012a",261482
GRAPHIDACEAE,"Ampliotrema sp.","Kalb ex Kalb","New or reinstated (Rivas Plata et al. 2012b)., Molecular: Yes., source: Rivas Plata et al. 2012b",130069
GRAPHIDACEAE,"Anomalographis sp.",Kalb,"Changed classification (Rivas Plata et al. 2012a)., Molecular: No., source: Rivas Plata et al. 2012a",130416
GRAPHIDACEAE,"Anomomorpha sp.","Nyl. ex Hue","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124671
GRAPHIDACEAE,"Asteristion sp.",Leight.,"New or reinstated (Medeiros et al. 2017)., Molecular: Yes., source: Medeiros et al. 2017",132829
GRAPHIDACEAE,"Astrochapsa sp.","Parnmen, Lücking & Lumbsch","New or reinstated (Parnmen et al. 2012)., Molecular: Yes., source: Parnmen et al. 2012",262459
GRAPHIDACEAE,"Austrotrema sp.","I. Medeiros, Lücking & Lumbsch","New or reinstated (Medeiros et al. 2017)., Molecular: Yes., source: Medeiros et al. 2017",262460
GRAPHIDACEAE,"Borinquenotrema sp.","Merc.-Díaz, Lücking & Parnmen","New or reinstated (Lumbsch et al. 2014)., Molecular: Yes., source: Lumbsch et al. 2014",262461
GRAPHIDACEAE,"Byssotrema sp.","M. Cáceres, Aptroot & Lücking","New or reinstated (Cáceres et al. 2014)., Molecular: No., source: Cáceres et al. 2014",262462
GRAPHIDACEAE,"Carbacanthographis sp.","Staiger & Kalb","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124685
GRAPHIDACEAE,"Chapsa sp.","A. Massal.","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124688
GRAPHIDACEAE,"Chroodiscus sp.","(Müll. Arg.) Müll. Arg.","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",126276
GRAPHIDACEAE,"Clandestinotrema sp.","Rivas Plata, Lücking & Lumbsch","New or reinstated (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",128372
GRAPHIDACEAE,"Compositrema sp.","Rivas Plata, Lücking & Lumbsch","Newor reinstated (Rivas Plata et al. 2012b)., Molecular: Yes., source: Rivas Plata et al. 2012b",262463
GRAPHIDACEAE,"Corticorygma sp.","M. Cáceres, S.C. Feuerst., Aptroot & Lücking","New or reinstated (Cáceres et al. 2014)., Molecular: Yes., source: Cáceres et al. 2014",262464
GRAPHIDACEAE,"Creographa sp.","A. Massal.","New or reinstated (Rivas Plata et al. 2013)., Molecular: Yes., source: Rivas Plata et al. 2013",143734
GRAPHIDACEAE,"Cruentotrema sp.","Rivas Plata, Papong, Lumbsch & Lücking","New or reinstated (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",258410
GRAPHIDACEAE,"Crutarndina sp.","Parnmen, Lücking & Lumbsch","New or reinstated (Parnmen et al. 2012)., Molecular: Yes., source: Parnmen et al. 2012",262465
GRAPHIDACEAE,"Diaphorographis sp.","A.W. Archer","Changed classification (Rivas Plata et al. 2012a)., Molecular: No., source: Rivas Plata et al. 2012a",262466
GRAPHIDACEAE,"Diorygma sp.",Eschw.,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124701
GRAPHIDACEAE,"Diploschistes sp.",Norman,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",51895
GRAPHIDACEAE,"Dyplolabia sp.","A. Massal.","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124704
GRAPHIDACEAE,"Enigmotrema sp.",Lücking,"New or reinstated (Sipman et al. 2012)., Molecular: Yes., source: Sipman et al. 2012",262456
GRAPHIDACEAE,"Fibrillithecis sp.",Frisch,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124711
GRAPHIDACEAE,"Fissurina sp.",Fée,"New synonymy (this paper)., Molecular: Yes., Notes. The name Leucogymnospora was found to be based on a species congeneric with Fissurina.",124712
GRAPHIDACEAE,"Flegographa sp.","A. Massal.","New or reinstated (Rivas Plata et al. 2013)., Molecular: Yes., source: Rivas Plata et al. 2013",262467
GRAPHIDACEAE,"Gintarasia sp.","Kraichak, Lücking & Lumbsch","New or reinstated (Kraichak et al. 2013)., Molecular: Yes., source: Kraichak et al. 2013",262487
GRAPHIDACEAE,"Glaucotrema sp.","Rivas Plata & Lumbsch","New or reinstated (Rivas Plata et al. 2012b)., Molecular: Yes., source: Rivas Plata et al. 2012b",256953
GRAPHIDACEAE,"Glyphis sp.",Ach.,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",51884
GRAPHIDACEAE,"Graphis sp.",Adans.,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",51886
GRAPHIDACEAE,"Gymnographopsis sp.","C.W. Dodge","Changed classification (Rivas Plata et al. 2012a)., Molecular: No., source: Rivas Plata et al. 2012a",148895
GRAPHIDACEAE,"Gyrotrema sp.",Frisch,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",149097
GRAPHIDACEAE,"Halegrapha sp.","Rivas Plata & Lücking","New or reinstated (Lücking et al. 2011a)., Molecular: Yes., source: Lücking et al. 2011a",127509
GRAPHIDACEAE,"Heiomasia sp.","Nelsen, Lücking & Rivas Plata","New or reinstated (Nelsen et al. 2010)., Molecular: Yes., source: Nelsen et al. 2010",127511
GRAPHIDACEAE,"Hemithecium sp.",Trevis.,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",149281
GRAPHIDACEAE,"Kalbographa sp.",Lücking,"Changed classification (Rivas Plata et al. 2012a)., Molecular: No., source: Rivas Plata et al. 2012a",150280
GRAPHIDACEAE,"Leiorreuma sp.",Eschw.,"New or reinstated (Staiger 2002)., Molecular: Yes., source: Staiger 2002",124732
GRAPHIDACEAE,"Leucodecton sp.","A. Massal.","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124736
GRAPHIDACEAE,"Malmographina sp.","M. Cáceres, Rivas Plata & Lücking","Newor reinstated (Cáceres et al. 2012)., Molecular: Yes., source: Cáceres et al. 2012",258529
GRAPHIDACEAE,"Mangoldia sp.","Lücking, Parnmen & Lumbsch","New or reinstated (Lücking et al. 2012)., Molecular: Yes., source: Lücking et al. 2012",262489
GRAPHIDACEAE,"Melanotopelia sp.","Lumbsch & Mangold","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",161388
GRAPHIDACEAE,"Melanotrema sp.",Frisch,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",124748
GRAPHIDACEAE,"Myriochapsa sp.","M. Cáceres, Lücking & Lumbsch","New or reinstated (Parnmen et al. 2013)., Molecular: Yes., source: Parnmen et al. 2013",262490
GRAPHIDACEAE,"Myriotrema sp.",Fée,"Changed classification and new synonymy (Lücking et al. 2015, 2016d; Rivas Plata et al. 2012a)., Molecular: Yes., source: Lücking et al. 2015, 2016d; Rivas Plata et al. 2012a",51896
GRAPHIDACEAE,"Nadvornikia sp.",Tibell,"Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",51897
GRAPHIDACEAE,"Nitidochapsa sp.","Parnmen, Lücking & Lumbsch","New or reinstated (Parnmen et al. 2013)., Molecular: Yes., source: Parnmen et al. 2013",258552
GRAPHIDACEAE,"Ocellularia sp.","G. Mey.","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",51898
GRAPHIDACEAE,"Pallidogramme sp.","Staiger, Kalb & Lücking","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",257747
GRAPHIDACEAE,"Paratopeliopsis sp.","Mercado-Díaz, Lücking & Parnmen","New or reinstated (Lumbsch et al. 2014)., Molecular: Yes., source: Lumbsch et al. 2014",262491
GRAPHIDACEAE,"Phaeographis sp.","Müll. Arg.","Changed classification (Rivas Plata et al. 2012a)., Molecular: Yes., source: Rivas Plata et al. 2012a",51891
GRAPHIDACEAE,"Phaeographopsis sp.",Sipman,"Changed classification (Rivas Plata et al. 2013)., Molecular: Yes., source: Rivas Plata et al. 2013",128370
