Family,ScientificName,ScientificNameAuthorship,Notes,TaxonId
TRYPETHELIACEAE,"Viridothelium sp.","Lücking, M.P. Nelsen & Aptroot","Newor reinstated (Aptroot & Lücking 2016; Lücking et al. 2016c)., Molecular: Yes., source: Aptroot & Lücking 2016; Lücking et al. 2016c",257492
UMBILICARIACEAE,"Fulgidea sp.","Bendiksby & Timdal","New or reinstated (Bendiksby & Timdal 2013)., Molecular: Yes., source: Bendiksby & Timdal 2013",256952
UMBILICARIACEAE,"Lasallia sp.",Mérat,"Changed classification (Bendiksby &Timdal 2013)., Molecular: Yes., source: Bendiksby &Timdal 2013",52138
UMBILICARIACEAE,"Umbilicaria sp.",Hoffm.,"Changed classification (Bendiksby & Timdal 2013)., Molecular: Yes., source: Bendiksby & Timdal 2013",52139
UMBILICARIACEAE,"Xylopsora sp.","Bendiksby & Timdal","New or reinstated (Bendiksby & Timdal 2013)., Molecular: No., source: Bendiksby & Timdal 2013",256980
VAHLIELLACEAE,"Vahliella sp.","P.M. Jørg.","Changed classification (Wedin et al. 2011)., Molecular: Yes., source: Wedin et al. 2011",127027
VERRUCARIACEAE,"Agonimia sp.",Zahlbr.,"No change., Molecular: Yes.",52253
VERRUCARIACEAE,"Anthracocarpon sp.",Breuss,"No change., Molecular: Yes.",130423
VERRUCARIACEAE,"Atla sp.","Savić & Tibell","No change., Molecular: Yes.",257067
VERRUCARIACEAE,"Awasthiella sp.","Kr.P. Singh","No change., Molecular: No.",262182
VERRUCARIACEAE,"Bagliettoa sp.","A. Massal.","No change., Molecular: Yes.",127037
VERRUCARIACEAE,"Catapyrenium sp.",Flot.,"No change., Molecular: Yes.",52254
VERRUCARIACEAE,"Clauzadella sp.","Nav.-Ros. & Cl. Roux","No change., Molecular: No.",262183
VERRUCARIACEAE,"Clavascidium sp.",Breuss,"No change., Molecular: Yes.",51801
VERRUCARIACEAE,"Dermatocarpon sp.",Eschw.,"No change., Molecular: Yes.",52255
VERRUCARIACEAE,"Endocarpon sp.",Hedw.,"No change., Molecular: Yes.",52256
VERRUCARIACEAE,"Flakea sp.","O.E. Erikss.","No change., Molecular: Yes.",124713
VERRUCARIACEAE,"Glomerilla sp.",Norman,"No change., Molecular: No.",262185
VERRUCARIACEAE,"Henrica sp.","B. de Lesd.","No change., Molecular: Yes.",124718
VERRUCARIACEAE,"Heterocarpon sp.","Müll. Arg.","No change., Molecular: No.",52257
VERRUCARIACEAE,"Heteroplacidium sp.",Breuss,"No change., Molecular: Yes.",124720
VERRUCARIACEAE,"Hydropunctaria sp.","C. Keller, Gueidan & Thüs","No change. Class Eurotiomycetes families incertae sedis, Molecular: Yes.",127665
